printedYear,startMonth,startDay,endMonth,endDay,parish,cause,count,parishTotal,parishPlague,canonicalDBN
1666,May,22,May,29,"Olaves, in Southwark",Consumpcon,2.0,12.0,,St Olave Southwark
1666,May,22,May,29,"Olaves, in Southwark",Dropsy,2.0,12.0,,St Olave Southwark
1666,May,22,May,29,"Olaves, in Southwark",ffeaver,1.0,12.0,,St Olave Southwark
1666,May,22,May,29,"Olaves, in Southwark",Fffistula,1.0,12.0,,St Olave Southwark
1666,May,22,May,29,"Olaves, in Southwark",Infant,2.0,12.0,,St Olave Southwark
1666,May,22,May,29,"Olaves, in Southwark",Stone,2.0,12.0,,St Olave Southwark
1666,July,10,July,17,"Olaves, in Southwark",Aged,1.0,13.0,,St Olave Southwark
1666,July,10,July,17,"Olaves, in Southwark",Childbed,1.0,13.0,,St Olave Southwark
1666,July,10,July,17,"Olaves, in Southwark",Consumpcon,1.0,13.0,,St Olave Southwark
1666,July,10,July,17,"Olaves, in Southwark",Dropsy,1.0,13.0,,St Olave Southwark
1666,July,10,July,17,"Olaves, in Southwark",ffeaver,3.0,13.0,,St Olave Southwark
1666,July,10,July,17,"Olaves, in Southwark",Gripeing in ye gutts,1.0,13.0,,St Olave Southwark
1666,July,10,July,17,"Olaves, in Southwark",Infant,3.0,13.0,,St Olave Southwark
1666,July,10,July,17,"Olaves, in Southwark",Teeth,2.0,13.0,,St Olave Southwark
1666,September,18,September,25,"Olaves, in Southwark",Aged,1.0,14.0,1.0,St Olave Southwark
1666,September,18,September,25,"Olaves, in Southwark",Consumpcon,2.0,14.0,1.0,St Olave Southwark
1666,September,18,September,25,"Olaves, in Southwark",ffeaver,2.0,14.0,1.0,St Olave Southwark
1666,September,18,September,25,"Olaves, in Southwark",Infant,6.0,14.0,1.0,St Olave Southwark
1666,September,18,September,25,"Olaves, in Southwark",Plague,1.0,14.0,1.0,St Olave Southwark
1666,September,18,September,25,"Olaves, in Southwark",Spotted ffeaver,1.0,14.0,1.0,St Olave Southwark
1666,September,18,September,25,"Olaves, in Southwark",Stilborne,1.0,14.0,1.0,St Olave Southwark
1665,March,13,March,20,"Saviours, in Southwark",Consumpcon,1.0,10.0,1.0,St Saviour Southwark
1665,March,13,March,20,"Saviours, in Southwark",Chrisoms,1.0,10.0,1.0,St Saviour Southwark
1665,March,13,March,20,"Saviours, in Southwark",Dropsy,2.0,10.0,1.0,St Saviour Southwark
1665,March,13,March,20,"Saviours, in Southwark",Jaundies,1.0,10.0,1.0,St Saviour Southwark
1665,March,13,March,20,"Saviours, in Southwark",Plague,1.0,10.0,1.0,St Saviour Southwark
1665,March,13,March,20,"Saviours, in Southwark",Teeth,2.0,10.0,1.0,St Saviour Southwark
1665,March,13,March,20,"Saviours, in Southwark",Tissick,2.0,10.0,1.0,St Saviour Southwark
1666,April,10,April,17,"Saviours, in Southwark",Aged,1.0,11.0,,St Saviour Southwark
1666,April,10,April,17,"Saviours, in Southwark",Consumpcon,1.0,11.0,,St Saviour Southwark
1666,April,10,April,17,"Saviours, in Southwark",Convulcon,1.0,11.0,,St Saviour Southwark
1666,April,10,April,17,"Saviours, in Southwark",Drowned,1.0,11.0,,St Saviour Southwark
1666,April,10,April,17,"Saviours, in Southwark",fflox,1.0,11.0,,St Saviour Southwark
1666,April,10,April,17,"Saviours, in Southwark",Gripeing in ye gutts,1.0,11.0,,St Saviour Southwark
1666,April,10,April,17,"Saviours, in Southwark",Stilborne,3.0,11.0,,St Saviour Southwark
1666,April,10,April,17,"Saviours, in Southwark",Teeth,1.0,11.0,,St Saviour Southwark
1666,April,10,April,17,"Saviours, in Southwark",Tissick,1.0,11.0,,St Saviour Southwark
1666,May,22,May,29,"Saviours, in Southwark",Aged,1.0,6.0,2.0,St Saviour Southwark
1666,May,22,May,29,"Saviours, in Southwark",Consumpcon,1.0,6.0,2.0,St Saviour Southwark
1666,May,22,May,29,"Saviours, in Southwark",Plague,2.0,6.0,2.0,St Saviour Southwark
1666,May,22,May,29,"Saviours, in Southwark",Ricketts,1.0,6.0,2.0,St Saviour Southwark
1666,May,22,May,29,"Saviours, in Southwark",Tissick,1.0,6.0,2.0,St Saviour Southwark
1666,July,10,July,17,"Saviours, in Southwark",Convulcon,1.0,12.0,2.0,St Saviour Southwark
1666,July,10,July,17,"Saviours, in Southwark",ffeaver,2.0,12.0,2.0,St Saviour Southwark
1666,July,10,July,17,"Saviours, in Southwark",Gripeing in ye gutts,2.0,12.0,2.0,St Saviour Southwark
1666,July,10,July,17,"Saviours, in Southwark",Plague,2.0,12.0,2.0,St Saviour Southwark
1666,July,10,July,17,"Saviours, in Southwark",Spotted ffeaver,1.0,12.0,2.0,St Saviour Southwark
1666,July,10,July,17,"Saviours, in Southwark",Stilborne,1.0,12.0,2.0,St Saviour Southwark
1666,July,10,July,17,"Saviours, in Southwark",Teeth,2.0,12.0,2.0,St Saviour Southwark
1666,July,10,July,17,"Saviours, in Southwark",Ulcer,1.0,12.0,2.0,St Saviour Southwark
1666,September,18,September,25,"Saviours, in Southwark",Consumpcon,1.0,11.0,1.0,St Saviour Southwark
1666,September,18,September,25,"Saviours, in Southwark",Childbed,1.0,11.0,1.0,St Saviour Southwark
1666,September,18,September,25,"Saviours, in Southwark",Chrisoms,1.0,11.0,1.0,St Saviour Southwark
1666,September,18,September,25,"Saviours, in Southwark",Dropsy,3.0,11.0,1.0,St Saviour Southwark
1666,September,18,September,25,"Saviours, in Southwark",Gripeing in ye gutts,3.0,11.0,1.0,St Saviour Southwark
1666,September,18,September,25,"Saviours, in Southwark",Plague,1.0,11.0,1.0,St Saviour Southwark
1666,September,18,September,25,"Saviours, in Southwark",Suddenly,1.0,11.0,1.0,St Saviour Southwark
1665,March,13,March,20,"Sepulchres, without Newgate",Aged,1.0,13.0,1.0,St Sepulchre
1665,March,13,March,20,"Sepulchres, without Newgate",Childbed,1.0,13.0,1.0,St Sepulchre
1665,March,13,March,20,"Sepulchres, without Newgate",Consumpcon,1.0,13.0,1.0,St Sepulchre
1665,March,13,March,20,"Sepulchres, without Newgate",Chrisoms,2.0,13.0,1.0,St Sepulchre
1665,March,13,March,20,"Sepulchres, without Newgate",Convulcon,2.0,13.0,1.0,St Sepulchre
1665,March,13,March,20,"Sepulchres, without Newgate",Dropsy,2.0,13.0,1.0,St Sepulchre
1665,March,13,March,20,"Sepulchres, without Newgate",ffeaver,1.0,13.0,1.0,St Sepulchre
1665,March,13,March,20,"Sepulchres, without Newgate",Plague,1.0,13.0,1.0,St Sepulchre
1665,March,13,March,20,"Sepulchres, without Newgate",Gripeing in ye gutts,1.0,13.0,1.0,St Sepulchre
1665,March,13,March,20,"Sepulchres, without Newgate",Riseing of ye lights,2.0,13.0,1.0,St Sepulchre
1666,April,10,April,17,"Sepulchres, without Newgate",Aged,1.0,10.0,4.0,St Sepulchre
1666,April,10,April,17,"Sepulchres, without Newgate",Consumpcon,1.0,10.0,4.0,St Sepulchre
1666,April,10,April,17,"Sepulchres, without Newgate",Dropsy,1.0,10.0,4.0,St Sepulchre
1666,April,10,April,17,"Sepulchres, without Newgate",ffeaver,1.0,10.0,4.0,St Sepulchre
1666,April,10,April,17,"Sepulchres, without Newgate",Plague,4.0,10.0,4.0,St Sepulchre
1666,April,10,April,17,"Sepulchres, without Newgate",Ricketts,1.0,10.0,4.0,St Sepulchre
1666,April,10,April,17,"Sepulchres, without Newgate",Surfett,1.0,10.0,4.0,St Sepulchre
1666,May,22,May,29,"Sepulchres, without Newgate",Consumpcon,1.0,8.0,,St Sepulchre
1666,May,22,May,29,"Sepulchres, without Newgate",Dropsy,1.0,8.0,,St Sepulchre
1666,May,22,May,29,"Sepulchres, without Newgate",Gripeing in ye gutts,2.0,8.0,,St Sepulchre
1666,May,22,May,29,"Sepulchres, without Newgate",Ricketts,1.0,8.0,,St Sepulchre
1666,May,22,May,29,"Sepulchres, without Newgate",Stilborne,1.0,8.0,,St Sepulchre
1666,May,22,May,29,"Sepulchres, without Newgate",Stone,1.0,8.0,,St Sepulchre
1666,May,22,May,29,"Sepulchres, without Newgate",Tissick,1.0,8.0,,St Sepulchre
1666,July,10,July,17,"Sepulchres, without Newgate",Consumpcon,3.0,6.0,,St Sepulchre
1666,July,10,July,17,"Sepulchres, without Newgate",Convulcon,1.0,6.0,,St Sepulchre
1666,July,10,July,17,"Sepulchres, without Newgate",Dropsy,1.0,6.0,,St Sepulchre
1666,July,10,July,17,"Sepulchres, without Newgate",Surfett,1.0,6.0,,St Sepulchre
1666,September,18,September,25,"Sepulchres, without Newgate",Aged,3.0,11.0,,St Sepulchre
1666,September,18,September,25,"Sepulchres, without Newgate",Chrisoms,1.0,11.0,,St Sepulchre
1666,September,18,September,25,"Sepulchres, without Newgate",Consumpcon,2.0,11.0,,St Sepulchre
1666,September,18,September,25,"Sepulchres, without Newgate",Convulcon,1.0,11.0,,St Sepulchre
1666,September,18,September,25,"Sepulchres, without Newgate",Dropsy,1.0,11.0,,St Sepulchre
1666,September,18,September,25,"Sepulchres, without Newgate",ffeaver,1.0,11.0,,St Sepulchre
1666,September,18,September,25,"Sepulchres, without Newgate",Gripeing in ye gutts,1.0,11.0,,St Sepulchre
1666,September,18,September,25,"Sepulchres, without Newgate",Riseing of ye lights,1.0,11.0,,St Sepulchre
1665,March,13,March,20,"Giles, in the Fields",Consumpcon,1.0,6.0,,St Giles in the Field
1665,March,13,March,20,"Giles, in the Fields",Convulcon,1.0,6.0,,St Giles in the Field
1665,March,13,March,20,"Giles, in the Fields",Gripeing in ye gutts,3.0,6.0,,St Giles in the Field
1665,March,13,March,20,"Giles, in the Fields",Teeth,1.0,6.0,,St Giles in the Field
1666,April,10,April,17,"Giles, in the Fields",Aged,2.0,6.0,1.0,St Giles in the Field
1666,April,10,April,17,"Giles, in the Fields",Consumpcon,1.0,6.0,1.0,St Giles in the Field
1666,April,10,April,17,"Giles, in the Fields",Dropsy,1.0,6.0,1.0,St Giles in the Field
1666,April,10,April,17,"Giles, in the Fields",Stone,1.0,6.0,1.0,St Giles in the Field
1666,April,10,April,17,"Giles, in the Fields",Plague,1.0,6.0,1.0,St Giles in the Field
1666,May,22,May,29,"Giles, in the Fields",Convulcon,1.0,3.0,,St Giles in the Field
1666,May,22,May,29,"Giles, in the Fields",Gripeing in ye gutts,1.0,3.0,,St Giles in the Field
1666,May,22,May,29,"Giles, in the Fields",ffeaver,1.0,3.0,,St Giles in the Field
1666,July,10,July,17,"Giles, in the Fields",Consumpcon,3.0,15.0,2.0,St Giles in the Field
1666,July,10,July,17,"Giles, in the Fields",Executed,1.0,15.0,2.0,St Giles in the Field
1666,July,10,July,17,"Giles, in the Fields",Gripeing in ye gutts,4.0,15.0,2.0,St Giles in the Field
1666,July,10,July,17,"Giles, in the Fields",Impostume,1.0,15.0,2.0,St Giles in the Field
1666,July,10,July,17,"Giles, in the Fields",Plague,2.0,15.0,2.0,St Giles in the Field
1666,July,10,July,17,"Giles, in the Fields",Stilborne,1.0,15.0,2.0,St Giles in the Field
1666,July,10,July,17,"Giles, in the Fields",Stone,1.0,15.0,2.0,St Giles in the Field
1666,July,10,July,17,"Giles, in the Fields",Thrush,1.0,15.0,2.0,St Giles in the Field
1666,July,10,July,17,"Giles, in the Fields",Dropsy,1.0,15.0,2.0,St Giles in the Field
1666,September,18,September,25,"Giles, in the Fields",Dropsy,3.0,10.0,1.0,St Giles in the Field
1666,September,18,September,25,"Giles, in the Fields",Consumpcon,2.0,10.0,1.0,St Giles in the Field
1666,September,18,September,25,"Giles, in the Fields",Suddenly,1.0,10.0,1.0,St Giles in the Field
1666,September,18,September,25,"Giles, in the Fields",Surfett,1.0,10.0,1.0,St Giles in the Field
1666,September,18,September,25,"Giles, in the Fields",Gripeing in ye gutts,2.0,10.0,1.0,St Giles in the Field
1666,September,18,September,25,"Giles, in the Fields",Plague,1.0,10.0,1.0,St Giles in the Field
1665,March,13,March,20,Hackney-Parish,Chrisoms,1.0,4.0,2.0,St John at Hackney
1665,March,13,March,20,Hackney-Parish,Consumpcon,1.0,4.0,2.0,St John at Hackney
1665,March,13,March,20,Hackney-Parish,Plague,2.0,4.0,2.0,St John at Hackney
1666,April,10,April,17,Hackney-Parish,Dropsy,1.0,1.0,,St John at Hackney
1666,May,22,May,29,Hackney-Parish,Aged,1.0,3.0,,St John at Hackney
1666,May,22,May,29,Hackney-Parish,Consumpcon,1.0,3.0,,St John at Hackney
1666,May,22,May,29,Hackney-Parish,Dropsy,1.0,3.0,,St John at Hackney
1666,July,10,July,17,Hackney-Parish,Plague,1.0,1.0,1.0,St John at Hackney
1666,September,18,September,25,Hackney-Parish,Aged,1.0,3.0,,St John at Hackney
1666,September,18,September,25,Hackney-Parish,Childbed,1.0,3.0,,St John at Hackney
1666,September,18,September,25,Hackney-Parish,Surfett,1.0,3.0,,St John at Hackney
1665,March,13,March,20,James-Clerkenwel,Consumpcon,1.0,1.0,,St James Clerkenwell
1666,April,10,April,17,James-Clerkenwel,Consumpcon,5.0,6.0,,St James Clerkenwell
1666,April,10,April,17,James-Clerkenwel,Dropsy,1.0,6.0,,St James Clerkenwell
1666,May,22,May,29,James-Clerkenwel,Consumpcon,1.0,2.0,,St James Clerkenwell
1666,May,22,May,29,James-Clerkenwel,Ricketts,1.0,2.0,,St James Clerkenwell
1666,July,10,July,17,James-Clerkenwel,Consumpcon,1.0,5.0,,St James Clerkenwell
1666,July,10,July,17,James-Clerkenwel,Convulcon,1.0,5.0,,St James Clerkenwell
1666,July,10,July,17,James-Clerkenwel,Scowring,1.0,5.0,,St James Clerkenwell
1666,July,10,July,17,James-Clerkenwel,Teeth,1.0,5.0,,St James Clerkenwell
1666,July,10,July,17,James-Clerkenwel,Winde,1.0,5.0,,St James Clerkenwell
1666,September,18,September,25,James-Clerkenwel,Consumpcon,1.0,3.0,1.0,St James Clerkenwell
1666,September,18,September,25,James-Clerkenwel,Convulcon,1.0,3.0,1.0,St James Clerkenwell
1666,September,18,September,25,James-Clerkenwel,Plague,1.0,3.0,1.0,St James Clerkenwell
1665,March,13,March,20,"Katherine, near the Tower",Consumpcon,1.0,3.0,1.0,St Katharine Tower
1665,March,13,March,20,"Katherine, near the Tower",Plague,1.0,3.0,1.0,St Katharine Tower
1665,March,13,March,20,"Katherine, near the Tower",ffound dead a man in the Comon Sewer,1.0,3.0,1.0,St Katharine Tower
1666,April,10,April,17,"Katherine, near the Tower",Lethargy,1.0,2.0,1.0,St Katharine Tower
1666,April,10,April,17,"Katherine, near the Tower",Plague,1.0,2.0,1.0,St Katharine Tower
1666,July,10,July,17,"Katherine, near the Tower",Consumpcon,3.0,8.0,1.0,St Katharine Tower
1666,July,10,July,17,"Katherine, near the Tower",Drowned,1.0,8.0,1.0,St Katharine Tower
1666,July,10,July,17,"Katherine, near the Tower",Infant,2.0,8.0,1.0,St Katharine Tower
1666,July,10,July,17,"Katherine, near the Tower",Plague,1.0,8.0,1.0,St Katharine Tower
1666,July,10,July,17,"Katherine, near the Tower",Teeth,1.0,8.0,1.0,St Katharine Tower
1666,September,18,September,25,"Katherine, near the Tower",Consumpcon,1.0,2.0,,St Katharine Tower
1666,September,18,September,25,"Katherine, near the Tower",Infant,1.0,2.0,,St Katharine Tower
1665,March,13,March,20,Lambeth-Parish,Plague,4.0,4.0,4.0,St Mary Lambeth
1666,April,10,April,17,Lambeth-Parish,Consumpcon,1.0,5.0,2.0,St Mary Lambeth
1666,April,10,April,17,Lambeth-Parish,Dropsy,1.0,5.0,2.0,St Mary Lambeth
1666,April,10,April,17,Lambeth-Parish,ffeaver,1.0,5.0,2.0,St Mary Lambeth
1666,April,10,April,17,Lambeth-Parish,Plague,2.0,5.0,2.0,St Mary Lambeth
1666,May,22,May,29,Lambeth-Parish,Infant,3.0,10.0,1.0,St Mary Lambeth
1666,May,22,May,29,Lambeth-Parish,Aged,1.0,10.0,1.0,St Mary Lambeth
1666,May,22,May,29,Lambeth-Parish,Consumpcon,1.0,10.0,1.0,St Mary Lambeth
1666,May,22,May,29,Lambeth-Parish,Ricketts,1.0,10.0,1.0,St Mary Lambeth
1666,May,22,May,29,Lambeth-Parish,ffeaver,3.0,10.0,1.0,St Mary Lambeth
1666,May,22,May,29,Lambeth-Parish,Plague,1.0,10.0,1.0,St Mary Lambeth
1666,July,10,July,17,Lambeth-Parish,Consumpcon,1.0,21.0,16.0,St Mary Lambeth
1666,July,10,July,17,Lambeth-Parish,Infant,2.0,21.0,16.0,St Mary Lambeth
1666,July,10,July,17,Lambeth-Parish,ffeaver,1.0,21.0,16.0,St Mary Lambeth
1666,July,10,July,17,Lambeth-Parish,Stilborne,1.0,21.0,16.0,St Mary Lambeth
1666,July,10,July,17,Lambeth-Parish,Plague,16.0,21.0,16.0,St Mary Lambeth
1666,September,18,September,25,Lambeth-Parish,ffeaver,1.0,5.0,2.0,St Mary Lambeth
1666,September,18,September,25,Lambeth-Parish,Infant,2.0,5.0,2.0,St Mary Lambeth
1666,September,18,September,25,Lambeth-Parish,Plague,2.0,5.0,2.0,St Mary Lambeth
1665,March,13,March,20,"Leonard, in Shoreditch",Consumpcon,3.0,9.0,,St Leonard Shoreditch
1665,March,13,March,20,"Leonard, in Shoreditch",Convulcon,2.0,9.0,,St Leonard Shoreditch
1665,March,13,March,20,"Leonard, in Shoreditch",ffeaver,1.0,9.0,,St Leonard Shoreditch
1665,March,13,March,20,"Leonard, in Shoreditch",Riseing of ye lights,3.0,9.0,,St Leonard Shoreditch
1666,April,10,April,17,"Leonard, in Shoreditch",Aged,2.0,5.0,,St Leonard Shoreditch
1666,April,10,April,17,"Leonard, in Shoreditch",Consumpcon,1.0,5.0,,St Leonard Shoreditch
1666,April,10,April,17,"Leonard, in Shoreditch",ffeaver,1.0,5.0,,St Leonard Shoreditch
1666,April,10,April,17,"Leonard, in Shoreditch",Teeth,1.0,5.0,,St Leonard Shoreditch
1666,May,22,May,29,"Leonard, in Shoreditch",Aged,1.0,4.0,,St Leonard Shoreditch
1666,May,22,May,29,"Leonard, in Shoreditch",Riseing of ye lights,3.0,4.0,,St Leonard Shoreditch
1666,July,10,July,17,"Leonard, in Shoreditch",Consumpcon,3.0,7.0,2.0,St Leonard Shoreditch
1666,July,10,July,17,"Leonard, in Shoreditch",Dropsy,1.0,7.0,2.0,St Leonard Shoreditch
1666,July,10,July,17,"Leonard, in Shoreditch",Plague,2.0,7.0,2.0,St Leonard Shoreditch
1666,July,10,July,17,"Leonard, in Shoreditch",Stilborne,1.0,7.0,2.0,St Leonard Shoreditch
1666,September,18,September,25,"Leonard, in Shoreditch",Aged,2.0,8.0,,St Leonard Shoreditch
1666,September,18,September,25,"Leonard, in Shoreditch",Burnt,1.0,8.0,,St Leonard Shoreditch
1666,September,18,September,25,"Leonard, in Shoreditch",Consumpcon,1.0,8.0,,St Leonard Shoreditch
1666,September,18,September,25,"Leonard, in Shoreditch",Convulcon,1.0,8.0,,St Leonard Shoreditch
1666,September,18,September,25,"Leonard, in Shoreditch",Stilborne,1.0,8.0,,St Leonard Shoreditch
1666,September,18,September,25,"Leonard, in Shoreditch",Surfett,1.0,8.0,,St Leonard Shoreditch
1666,September,18,September,25,"Leonard, in Shoreditch",Riseing of ye lights,1.0,8.0,,St Leonard Shoreditch
1665,March,13,March,20,"Magdalens, in Bermondsey-street",Aged,1.0,4.0,1.0,St Mary Magdalen Bermondsey
1665,March,13,March,20,"Magdalens, in Bermondsey-street",Chrisoms,1.0,4.0,1.0,St Mary Magdalen Bermondsey
1665,March,13,March,20,"Magdalens, in Bermondsey-street",Gripeing in ye gutts,1.0,4.0,1.0,St Mary Magdalen Bermondsey
1665,March,13,March,20,"Magdalens, in Bermondsey-street",Plague,4.0,4.0,1.0,St Mary Magdalen Bermondsey
1666,April,10,April,17,"Magdalens, in Bermondsey-street",Spotted ffeaver,1.0,2.0,,St Mary Magdalen Bermondsey
1666,April,10,April,17,"Magdalens, in Bermondsey-street",Infant,1.0,2.0,,St Mary Magdalen Bermondsey
1666,May,22,May,29,"Magdalens, in Bermondsey-street",Consumpcon,1.0,5.0,4.0,St Mary Magdalen Bermondsey
1666,May,22,May,29,"Magdalens, in Bermondsey-street",Plague,4.0,5.0,4.0,St Mary Magdalen Bermondsey
1666,July,10,July,17,"Magdalens, in Bermondsey-street",Aged,1.0,13.0,7.0,St Mary Magdalen Bermondsey
1666,July,10,July,17,"Magdalens, in Bermondsey-street",Dropsy,1.0,13.0,7.0,St Mary Magdalen Bermondsey
1666,July,10,July,17,"Magdalens, in Bermondsey-street",Gripeing in ye gutts,4.0,13.0,7.0,St Mary Magdalen Bermondsey
1666,July,10,July,17,"Magdalens, in Bermondsey-street",Plague,7.0,13.0,7.0,St Mary Magdalen Bermondsey
1666,September,18,September,25,"Magdalens, in Bermondsey-street",Aged,1.0,13.0,3.0,St Mary Magdalen Bermondsey
1666,September,18,September,25,"Magdalens, in Bermondsey-street",Childbed,1.0,13.0,3.0,St Mary Magdalen Bermondsey
1666,September,18,September,25,"Magdalens, in Bermondsey-street",Consumpcon,1.0,13.0,3.0,St Mary Magdalen Bermondsey
1666,September,18,September,25,"Magdalens, in Bermondsey-street",Dropsy,1.0,13.0,3.0,St Mary Magdalen Bermondsey
1666,September,18,September,25,"Magdalens, in Bermondsey-street",Gripeing in ye gutts,3.0,13.0,3.0,St Mary Magdalen Bermondsey
1666,September,18,September,25,"Magdalens, in Bermondsey-street",Convulcon,1.0,13.0,3.0,St Mary Magdalen Bermondsey
1666,September,18,September,25,"Magdalens, in Bermondsey-street",Plague,3.0,13.0,3.0,St Mary Magdalen Bermondsey
1666,September,18,September,25,"Magdalens, in Bermondsey-street",Ricketts,1.0,13.0,3.0,St Mary Magdalen Bermondsey
1666,September,18,September,25,"Magdalens, in Bermondsey-street",Scalded,1.0,13.0,3.0,St Mary Magdalen Bermondsey
1665,March,13,March,20,"Mary, at Islington",Consumpcon,1.0,1.0,,St Mary Islington
1666,May,22,May,29,"Mary, at Islington",Abortive,2.0,4.0,,St Mary Islington
1666,May,22,May,29,"Mary, at Islington",Consumpcon,1.0,4.0,,St Mary Islington
1666,May,22,May,29,"Mary, at Islington",Shott,1.0,4.0,,St Mary Islington
1666,July,10,July,17,"Mary, at Islington",Drowned,1.0,2.0,,St Mary Islington
1666,July,10,July,17,"Mary, at Islington",Stilborne,1.0,2.0,,St Mary Islington
1666,September,18,September,25,"Mary, at Islington",Stilborne,2.0,9.0,,St Mary Islington
1666,September,18,September,25,"Mary, at Islington",Infant,1.0,9.0,,St Mary Islington
1666,September,18,September,25,"Mary, at Islington",Consumpcon,3.0,9.0,,St Mary Islington
1666,September,18,September,25,"Mary, at Islington",Dropsy,3.0,9.0,,St Mary Islington
1665,March,13,March,20,"Mary, at Whitechappel",Aged,1.0,4.0,,St Mary Whitechapel
1665,March,13,March,20,"Mary, at Whitechappel",Consumpcon,1.0,4.0,,St Mary Whitechapel
1665,March,13,March,20,"Mary, at Whitechappel",Dropsy,1.0,4.0,,St Mary Whitechapel
1665,March,13,March,20,"Mary, at Whitechappel",ffeaver,1.0,4.0,,St Mary Whitechapel
1666,April,10,April,17,"Mary, at Whitechappel",Aged,1.0,3.0,,St Mary Whitechapel
1666,April,10,April,17,"Mary, at Whitechappel",Consumpcon,1.0,3.0,,St Mary Whitechapel
1666,April,10,April,17,"Mary, at Whitechappel",Convulcon,1.0,3.0,,St Mary Whitechapel
1666,May,22,May,29,"Mary, at Whitechappel",Plague,1.0,9.0,1.0,St Mary Whitechapel
1666,May,22,May,29,"Mary, at Whitechappel",Dropsy,3.0,9.0,1.0,St Mary Whitechapel
1666,May,22,May,29,"Mary, at Whitechappel",Stilborne,2.0,9.0,1.0,St Mary Whitechapel
1666,May,22,May,29,"Mary, at Whitechappel",Teeth,1.0,9.0,1.0,St Mary Whitechapel
1666,May,22,May,29,"Mary, at Whitechappel",Consumpcon,1.0,9.0,1.0,St Mary Whitechapel
1666,May,22,May,29,"Mary, at Whitechappel",ffeaver,1.0,9.0,1.0,St Mary Whitechapel
1666,July,10,July,17,"Mary, at Whitechappel",Chrisoms,1.0,12.0,3.0,St Mary Whitechapel
1666,July,10,July,17,"Mary, at Whitechappel",Convulcon,5.0,12.0,3.0,St Mary Whitechapel
1666,July,10,July,17,"Mary, at Whitechappel",Dropsy,1.0,12.0,3.0,St Mary Whitechapel
1666,July,10,July,17,"Mary, at Whitechappel",ffeaver,1.0,12.0,3.0,St Mary Whitechapel
1666,July,10,July,17,"Mary, at Whitechappel",Plague,3.0,12.0,3.0,St Mary Whitechapel
1666,July,10,July,17,"Mary, at Whitechappel",Ricketts,1.0,12.0,3.0,St Mary Whitechapel
1666,September,18,September,25,"Mary, at Whitechappel",Plague,2.0,22.0,2.0,St Mary Whitechapel
1666,September,18,September,25,"Mary, at Whitechappel",Convulcon,5.0,22.0,2.0,St Mary Whitechapel
1666,September,18,September,25,"Mary, at Whitechappel",Consumpcon,1.0,22.0,2.0,St Mary Whitechapel
1666,September,18,September,25,"Mary, at Whitechappel",Dropsy,5.0,22.0,2.0,St Mary Whitechapel
1666,September,18,September,25,"Mary, at Whitechappel",Drowned,1.0,22.0,2.0,St Mary Whitechapel
1666,September,18,September,25,"Mary, at Whitechappel",Aged,1.0,22.0,2.0,St Mary Whitechapel
1666,September,18,September,25,"Mary, at Whitechappel",Ricketts,1.0,22.0,2.0,St Mary Whitechapel
1666,September,18,September,25,"Mary, at Whitechappel",Cancer,1.0,22.0,2.0,St Mary Whitechapel
1666,September,18,September,25,"Mary, at Whitechappel",Riseing of ye lights,2.0,22.0,2.0,St Mary Whitechapel
1666,September,18,September,25,"Mary, at Whitechappel",Chrisoms,2.0,22.0,2.0,St Mary Whitechapel
1666,September,18,September,25,"Mary, at Whitechappel",ffeaver,1.0,22.0,2.0,St Mary Whitechapel
1665,March,13,March,20,Redrisse-Parish,Spotted ffeaver,1.0,2.0,,St Mary Rotherhithe
1665,March,13,March,20,Redrisse-Parish,Plague,1.0,2.0,,St Mary Rotherhithe
1666,April,10,April,17,Redrisse-Parish,ffeaver,1.0,4.0,3.0,St Mary Rotherhithe
1666,April,10,April,17,Redrisse-Parish,Plague,3.0,4.0,3.0,St Mary Rotherhithe
1666,May,22,May,29,Redrisse-Parish,Consumpcon,1.0,7.0,2.0,St Mary Rotherhithe
1666,May,22,May,29,Redrisse-Parish,Childbed,1.0,7.0,2.0,St Mary Rotherhithe
1666,May,22,May,29,Redrisse-Parish,Infant,1.0,7.0,2.0,St Mary Rotherhithe
1666,May,22,May,29,Redrisse-Parish,Plague,2.0,7.0,2.0,St Mary Rotherhithe
1666,May,22,May,29,Redrisse-Parish,Spotted ffeaver,1.0,7.0,2.0,St Mary Rotherhithe
1666,May,22,May,29,Redrisse-Parish,Teeth,1.0,7.0,2.0,St Mary Rotherhithe
1666,July,10,July,17,Redrisse-Parish,Consumpcon,1.0,10.0,4.0,St Mary Rotherhithe
1666,July,10,July,17,Redrisse-Parish,Convulcon,1.0,10.0,4.0,St Mary Rotherhithe
1666,July,10,July,17,Redrisse-Parish,ffeaver,1.0,10.0,4.0,St Mary Rotherhithe
1666,July,10,July,17,Redrisse-Parish,Infant,1.0,10.0,4.0,St Mary Rotherhithe
1666,July,10,July,17,Redrisse-Parish,Teeth,1.0,10.0,4.0,St Mary Rotherhithe
1666,July,10,July,17,Redrisse-Parish,Thrush,1.0,10.0,4.0,St Mary Rotherhithe
1666,July,10,July,17,Redrisse-Parish,Plague,4.0,10.0,4.0,St Mary Rotherhithe
1666,September,18,September,25,Redrisse-Parish,Consumpcon,2.0,2.0,,St Mary Rotherhithe
1665,March,13,March,20,Stepney-Parish,Aged,1.0,29.0,5.0,St Dunstan Stepney
1665,March,13,March,20,Stepney-Parish,Childbed,2.0,29.0,5.0,St Dunstan Stepney
