"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position","Image FileName(s)",Year,"Week Number","Unique Identifier","Start Day","Start Month","End Day","End Month",Abortive,Aged,Ague,Apoplexy,Bed-ridden,Blasted,Bleeding,Bloody-flux,Calenture,Cancer,Canker,Child-Bed,Chrisoms,Cold,Colick,Consumption,Convulsion,Cough,Cramp,Diabetes,Dropsie,Drowned,"Drowned (Descriptive Text)",Falling-sickness,Fever,Fistula,"Flox and Small-Pox",Flux,French-Pox,Frets,Gangreen,Gout,Grief,"Griping in the Guts",Headache,Headmouldshot,Hiccough,Jaundies,Jaw-fallen,Impostume,Infants,Itch,"Kings Evil",Leprosie,Lethargy,Liver-grown,Lunatick,Meagrim,Measles,Mother,"Noli me tangere",Overlaid,Palsie,Plague,Plurisie,Purples,Quinsie,Rheumatism,Rickets,"Rising of the Lights","Running of the Reins",Rupture,"St. Anthony's Fire","Scald Head",Sciatica,Scowring,Scurvy,Shingles,Spleen,Spotted-Fever,Still-born,Stone,"Stopping of the Stomach",Strangury,Suddenly,Surfeit,Swine-Pox,Teeth,Thrush,Tissick,Tympany,Ulcer,Vomiting,Wen,Wind,Wolf,Worms,Killed,"Killed (Descriptive Text)",Suicide,"Suicide (Descriptive Text)","Other Casualties","Other Casualties (Descriptive Text)","Christened (Male)","Christened (Female)","Christened (In All)","Buried (Male)","Buried (Female)","Buried (All)","Plague Deaths","Increase/Decrease in Burials","Increase/Decrease in Plague Deaths","Parishes Clear of the Plague","Parishes Infected (with Plague)","Ounces in Penny Wheaten Loaf","Ounces in Three Half-Penny White Loaf"
172,48,48,1,"JMO_2016_15207.JPG, JMO_2016_15208.JPG, JMO_2016_15209.JPG",1669,47,1669-47-verso,9,November,16,November,1,13,,,,,,1,,,,1,4,,,52,23,1,,,18,,,,25,1,25,4,,,,,2,69,,,,4,,1,2,,1,,,,1,,,,,2,,,,,,,3,4,,,,,,1,1,,,2,14,,5,,1,6,,13,2,1,,,1,,,,,,,,,1,Sore-throat,123,120,243,162,144,306,0,-28,,130,0,10.5,10.5
173,49,49,1,"JMO_2016_152010.JPG, JMO_2016_15211.JPG, JMO_2016_15212.JPG",1669,48,1669-48-verso,16,November,23,November,2,12,,1,,,,,,1,,11,13,,,63,20,,,,22,1,"Drowned at St. Dunstan in the East",,27,,27,6,2,,,,1,53,,,,,,4,7,,2,,,,1,,1,,,1,1,,,1,1,,2,1,,,,,,,,,,1,14,,6,1,1,4,,6,,2,,2,,,1,,1,2,"Kild 2, one with a fall at Rothorith, and one by the fall of a Scaffold at St. Bridget",,,1,"Starved at Nurse at St. Mary Newington ",117,122,239,178,157,335,0,29,,130,0,10.5,10.5
175,51,51,1,"JMO_2016_152016.JPG, JMO_2016_15217.JPG, JMO_2016_15218.JPG",1669,50,1669-50-verso,30,November,7,December,,15,,1,,,,,,,,5,8,,,59,28,,,,22,1,"Drowned at St. Kathar. Tower",,18,,42,2,,,,,,47,,1,,2,,2,3,,,,,,1,1,1,,,2,,,,1,,,5,1,,,,,,,2,,,,13,,5,,,2,,10,2,2,1,2,,,1,,2,1,"Kild by a Wagon at St. Giles in the fields ",1,"Hanged himself at St. Botolph Aldgate",,,132,107,239,154,168,322,0,24,,130,0,10.5,10.5
176,52,52,1,"JMO_2016_152019.JPG, JMO_2016_15220.JPG, JMO_2016_15221.JPG",1669,51,1669-51-verso,7,December,14,December,,15,1,,,,,,,,,6,7,,,55,25,,,,20,,,,24,,36,4,1,,,,,39,,,,,,,5,,,,,,,,,,,3,,,1,,,,5,1,,,,,,,2,,,1,8,,5,,2,4,,14,,5,,1,2,,1,,1,2,"Kild 2, one by the Mother at St. George Southwark and one by the fall from an House at St. Bridgets",,,,,123,122,245,156,140,296,0,-26,,130,0,10.5,10.5
177,53,53,1,"JMO_2016_152022.JPG, JMO_2016_15223.JPG, JMO_2016_15224.JPG",1669,52,1669-52-verso,14,December,21,December,,19,,1,,,,,,,,7,6,1,,72,40,1,,,29,,,,27,,58,3,1,,,,,45,,,,,,,3,,1,,,,,,,,,1,,,,,,,7,5,,,,,,,4,,,1,6,,8,,2,10,,17,1,9,,2,,,1,,1,2,"Kild 2, one by the fall of a piece of Timber at St. Michael Cornhil, and one by an Oxe at St. Mary Whitechappel",,,,,113,99,212,190,201,391,0,95,,130,0,10.5,10.5
281,55,55,1,"JMO_2016_15231.JPG, JMO_2016_15232.JPG, JMO_2016_15233.JPG",1669,2,1669-02-verso,28,December,4,January,4,30,1,1,,,,,,,,4,17,2,,74,66,2,,,24,1,"Drowned at Stepney",,21,,54,4,1,,,1,1,44,,,,,,2,7,,,,,,,,1,,,8,,,,,1,,9,5,,1,,,,,,,,1,15,2,11,1,1,12,,21,3,17,1,2,1,,3,,3,1,"Murthered an Infant at St. Margaret Westminster",,,1,Bursen,107,104,211,256,235,491,,79,,130,,10.5,10.5
282,56,56,1,"JMO_2016_15234.JPG, JMO_2016_15235.JPG, JMO_2016_15236.JPG",1669,3,1669-03-verso,4,January,11,January,1,38,1,,,,,,,,,6,6,,,76,45,1,,,21,,,,40,,46,4,2,,,,,56,,,,4,,,7,,,,,,,,1,,,1,1,,,,1,,7,3,,,,,,,3,,,2,10,,10,1,1,13,,25,2,10,3,1,2,,,,3,4,"Kild 3, one at St. Giles in the fields, one at St. Leonard Shoreditch, and one by the fall of a Chimney at St. Margaret Westminster; Murthered by his Master at St. Botolph Aldersgate",1,"Hang'd himself at St. Giles Cripplegate",1,Strained,139,128,267,246,234,460,0,-31,,130,0,10.5,10.5
283,57,57,1,"JMO_2016_15237.JPG, JMO_2016_15238.JPG, JMO_2016_15239.JPG",1669,4,1669-04-verso,11,January,18,January,,11,,,,,,,,1,1,6,4,,,56,25,2,,,13,,,,25,,41,,1,,2,,,35,,,,4,,,,,,,,,,,2,,,3,2,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,1,"Hang'd himself at Saviours Southwark",,,113,114,227,160,158,318,,-142,,130,,10.5,10.5
284,58,58,1,"JMO_2016_15240.JPG, JMO_2016_15241.JPG, JMO_2016_15242.JPG",1669,5,1669-05-verso,18,January,25,January,1,13,1,,,,,,,,,2,5,,,63,25,,,,17,2,"Drowned 2, one at Stepney, and one in a Well at St. Mary Whitechappel",1,25,,34,4,2,,,,1,33,,,,,,2,6,,,,,,,,4,,,1,,,1,,,,9,4,,,,,,,,,,1,14,3,8,,,10,,15,,6,,,1,,1,,1,3,"Executed; Kild by a fall from a Scaffold at St. Maryle Bow; Murthered at St. Martin in the Fields",,,1,Broken-Legg,126,108,234,169,152,321,0,3,,130,0,10.5,10.5
285,59,59,1,"JMO_2016_15243.JPG, JMO_2016_15244.JPG, JMO_2016_15245.JPG",1669,6,1669-06-verso,25,January,1,February,1,16,,,,,,,,1,,10,7,,,83,23,,,,26,1,"Drowned at St. Kathar. Tower",,22,,28,2,1,,,1,,27,,,,,,3,9,,1,,,,,,,,,1,2,,1,,,,8,6,,,,,,1,,,,1,15,1,8,,1,10,,10,1,4,,4,,,1,,2,4,"Kild 3, one by the fall of a House at St. Giles Cripplegate, one by the same Accident at Stepney, and one by a fall from a Horse at St. Mary Islington; Murthered by the Mother at  St. Bartholomew the Great",1,"Hang'd himself at St. Botolph Bishopsgate",1,"Starved at Nurse at St. Katharine Tower",135,123,258,201,155,356,0,35,,130,0,10.5,10.5
286,60,60,1,"JMO_2016_15246.JPG, JMO_2016_15247.JPG, JMO_2016_15248.JPG",1669,7,1669-07-verso,1,February,8,February,5,17,,1,,,,,,2,,4,9,,,91,49,,,,26,3,"Drowned 3, one at St. Katharine Tower, one at St. Magdalen Bermondsey, and one in a Ditch at Stepney",,26,,44,,,,,,,33,,,,,,5,4,,1,,,1,,,5,1,,1,1,,1,,,,7,5,,3,,,,,3,,,1,10,1,7,,3,6,,17,2,9,,2,1,,3,,2,,,,,,,131,118,249,211,201,412,,56,,130,0,10.5,10.5
287,61,61,1,"JMO_2016_15249.JPG, JMO_2016_15250.JPG, JMO_2016_15251.JPG",1669,8,1669-08-verso,8,February,15,February,4,23,,1,,,,,,,,4,12,,,74,53,1,,,26,,,,34,,42,,2,,,,,35,,,,4,,4,10,,3,,,2,,,10,,,,,,,,1,,7,5,,,,,,,1,,,1,16,,17,1,2,18,,12,2,10,,,1,,2,1,3,,,,,2,"Found dead in the Street at St. Dunstan West; Sore legg",122,131,253,222,224,446,0,34,,130,0,10.5,10.5
288,62,62,1,"JMO_2016_15252.JPG, JMO_2016_15253.JPG, JMO_2016_15254.JPG",1669,9,1669-09-verso,15,February,22,February,3,25,,2,,,,,,1,,3,13,,1,72,43,,,,21,1,"Drowned at St. Kathar. Tower",1,37,,32,1,2,,2,,,47,,,,5,,1,9,,,,,,,,8,,,,,,,,,,8,2,,3,,,,,1,,,2,10,1,13,,2,7,,27,4,8,,,,,4,,2,1,"Kild with a Cart at St. Giles in the Fields",,,2,"Sore-throat; Scalded at Stepney",138,119,257,215,212,427,0,-19,,130,0,10.5,10.5
290,64,64,1,"JMO_2016_15258.JPG, JMO_2016_15259.JPG, JMO_2016_15260.JPG",1669,11,1669-11-verso-form-fill,1,March,8,March,2,25,2,,,,,,,1,,3,8,,,81,35,,,,19,,,,37,,36,7,1,,1,,1,36,,,,4,,5,4,,,,,,,,12,,,1,,,,,,,9,6,,,,,,,2,,,2,15,,14,,1,16,,33,3,8,,2,,,2,,1,,,,,8,,161,139,300,244,199,443,,51,,130,,,
291,65,65,1,"JMO_2016_15261.JPG, JMO_2016_15262.JPG, JMO_2016_15263.JPG",1669,12,1669-12-verso-form-fill,8,March,15,March,2,19,,,,1,,,,1,1,7,7,,,56,23,2,,,27,,,,31,,31,1,2,,,,1,30,,,,1,,6,1,,,,,,,,12,,,,,,,,,,9,4,,2,,,,,,,3,1,17,,10,2,1,13,,31,1,2,,1,2,,1,,5,,,,,6,,,,,,,,,,,,,,
292,66,66,1,"JMO_2016_15264.JPG, JMO_2016_15265.JPG, JMO_2016_15266.JPG",1669,13,1669-13-verso-form-fill,15,March,22,March,1,31,,1,,,,,,,,5,12,,,62,41,3,,,33,,,,26,,19,,1,,,,,36,,,,3,,2,3,,4,,,,,,17,,,2,,,,,,,9,7,,,,,,,,,,2,11,1,7,,3,9,,23,1,5,,4,1,,2,,5,,,,,4,,126,114,140,211,189,400,,27,130,,,,
293,67,67,1,"JMO_2016_15267.JPG, JMO_2016_15268.JPG, JMO_2016_15269.JPG",1670,14,1670-14-verso,22,March,29,March,1,21,1,1,1,,,,,,1,9,4,,,73,38,1,,,13,1,"Drowned at Stepney",,44,1,25,,,,,,1,35,,,,6,,2,8,,,,,,,,13,,,2,1,,,,,,5,5,,1,,,,,,,1,8,11,,8,,1,13,,31,1,2,1,,,,3,,7,1,"Kild by her Husband at St. Clement Danes",1,"Cut her own Throat at St. Giles Cripplegate",,,134,117,251,201,196,397,0,-3,,130,0,10.5,10.5
294,68,68,1,"JMO_2016_15270.JPG, JMO_2016_15271.JPG, JMO_2016_15272.JPG",1670,15,1670-15-verso,29,March,5,April,1,14,1,1,,,,1,,1,,8,6,,,57,29,2,,,23,1,"Drowned at St. Olave Southwark",,27,,28,,2,,1,,,29,,,,2,,5,8,,,,,1,,,32,,,1,,,,1,,,8,4,,,,,,,,,,3,8,,11,,,8,,29,2,6,,1,,,,,9,1,"Kild with a Coach at St. Bartholomew Exchange ",,,1,"Starv'd at Shadwell in Stepney",106,105,211,193,180,373,0,-24,,130,0,10.5,10.5
295,69,69,1,"JMO_2016_15273.JPG, JMO_2016_15274.JPG, JMO_2016_15275.JPG",1670,16,1670-16-verso,5,April,12,April,1,22,1,,,,1,,,1,,8,11,,,65,37,3,,,19,,,,29,,30,2,,,1,,2,42,,,,3,,2,8,,3,,,,7,,2,,,3,,,,,1,,14,7,,2,,,,,1,,,5,14,,9,1,2,14,,38,3,6,,2,,,1,,3,5,"Kild 4, one at St. Martin in the Fields, one by a fall at St. Giles Cripplegate, one by a fall at Wrestling at St. Leonard Shoreditch, and one by the fall of a Hovel at St. Mary Whitechappel; Murthered by the Mother at St. Giles Cripplegate",,,,,125,116,241,228,217,445,0,72,,130,0,10.5,10.5
297,71,71,1,"JMO_2016_15278.JPG, JMO_2016_15279.JPG, JMO_2016_15280.JPG",1670,18,1670-18-verso,19,April,26,April,3,23,,,,,,,,1,1,8,3,,1,70,28,3,,,21,3,"Drowned 3 one at St. Magnus, one at St. Dunstan in the West, and one at Lambeth",,27,,35,1,,,,1,1,37,,,,3,,3,6,,1,,1,1,,,15,,,2,,,,,,,13,3,,1,,,,,2,,,2,9,3,10,,1,11,,36,1,3,,,2,,4,,4,3,"Executed; Kill by a fall off a Ladder at Saviours Southwark; Murthered at St. Martin in the Fields",,,1,"Found dead in the Fields at St. Leonard Shoreditch",138,113,251,221,187,408,,34,,130,0,10.5,10.5
298,72,72,1,"JMO_2016_15281.JPG, JMO_2016_15282.JPG, JMO_2016_15283.JPG",1670,19,1669-19-verso,26,April,3,May,,16,,,,,,,,,,1,8,,,68,30,4,,,14,3,"Drowned at St. Kathar. Tower",,40,,18,,,,,,,25,,,,,,6,2,,,,,,,,14,,,1,,,1,,,,4,3,,,,,,,,,,3,7,3,4,1,1,11,,21,2,1,,1,,,,,1,1,"Kild by the kick of a Horse at St. Ethelborough",,,,,109,89,198,176,139,315,0,-93,,130,0,11,11
299,73,73,1,"JMO_2016_15284.JPG, JMO_2016_15285.JPG, JMO_2016_15286.JPG",1670,20,1670-20-verso,3,May,10,May,2,18,1,1,,,,,,,,1,8,,,66,35,,,,13,3,"Drowned at St. Kathar. Tower",,27,1,26,,,,1,1,,38,,,,3,,6,9,,5,,,,,,22,,,2,1,,1,,1,,8,5,,,,,,,,,,1,9,2,9,,1,17,,32,1,1,1,1,2,,3,,2,1,"Kild at St. Margaret Westminster",1,"Hang'd himself at St. Mary Islington",2,"Bruised with a fall at St. Giles Cripplegate; Scalded in a Brewers Tun at St. Georges in Southwark",135,109,244,225,169,394,,79,,130,0,11,11
300,74,74,1,"JMO_2016_15288.JPG, JMO_2016_15289.JPG, JMO_2016_15303.JPG",1670,21,1670-21-verso,10,May,17,May,1,13,,,,,,,,,,5,12,,,43,32,3,,,16,1,"Drown'd at S. Margaret Westminster",,23,,20,,2,,,,,32,,,,,,5,4,,3,,,,,,12,,,,2,,,,,,3,2,,1,,,,1,,,,1,3,,12,,3,6,,21,,2,,2,,,3,,2,2,"Kild 2, one with the fall of a piece of Timber at Rotherhith, and one by a fall in a Ship at Wapping in Stepney",,,1,"Cut of the Stone",106,109,215,160,138,298,0,-96,,130,0,11,11
301,75,75,1,"JMO_2016_15290.JPG, JMO_2016_15291.JPG, JMO_2016_15292.JPG",1670,22,1670-22-verso,17,May,24,May,4,16,,,,,,,,1,,6,7,,,50,30,,,,26,3,"Drowned 3. one at Saviours Southwark, one at St. Katharine Tower, and one in a Tub of Water at St. Andrew Holborn",,22,,23,2,,,,1,,30,,,,2,,1,4,,2,,,,,,14,,,3,,,,1,,,7,4,,,,,,,1,,,3,11,,4,1,1,13,,28,3,1,,1,1,,2,,1,2,"Kild by a fall out of a Garrat window at Alhallows Great; Murthered by the Mother at St. Giles in the field",,,,,94,94,188,170,162,332,,34,,130,0,11,11
302,76,76,1,"JMO_2016_15293.JPG, JMO_2016_15294.JPG, JMO_2016_15295.JPG",1670,23,1670-23-verso,24,May,31,May,3,15,,2,,,,,,,,2,5,,,60,24,,,,16,1,"Drowned at Lambeth",,31,,26,3,2,,1,,,4,,,,2,,4,8,,,,,1,,,8,,,1,,,,,2,,1,1,,,,,,,1,,,4,11,,8,,,10,,23,3,,,,,,2,,2,2,"Executed; Kild by a Wagon at St. James Clerkenwel ",1,"Hang'd herself at St. Giles in the fields",1,"Catarrh ",112,108,220,189,148,337,0,5,,130,0,11,11
303,77,77,1,"JMO_2016_15296.JPG; JMO_2016_15297.JPG; JMO_2016_15298.JPG",1670,24,1670-24-verso,31,May,7,June,,23,,,,,,,,,,5,6,,,49,31,,,,18,1,"Drowned at St. Olave Southwark",,30,,26,2,,,1,,,30,,,,2,,1,8,,3,,,,1,,4,,,3,1,,,,,,5,6,,,,,,,1,,,1,5,,2,1,,8,,31,3,2,,1,1,,,,2,2,"Kild 2, one on the High-way at St. Giles in the fields, and one at St. Andrew Holborn [2]",1,"Cut his own Throat at St. Andrew Holborn [1]",,,115,107,222,184,132,316,0,-28,,130,0,11,11
307,81,81,1,"JMO_2016_15311.JPG, JMO_2016_15312.JPG, JMO_2016_1513.JPG",1670,28,1670-28-verso,28,June,5,July,2,14,,,,,,,,,,3,4,,,43,17,1,,,13,,,,36,1,38,3,,,1,,,41,,,,2,,1,7,,,,,,,,3,,,,1,,,,2,,6,5,,,,,,1,1,,,4,16,3,4,,,,,2,,,2,,1,,2,,,,,,,9,,91,95,186,167,151,318,,20,,130,,,
309,83,84,1,"JMO_2016_15316.JPG, JMO_2016_15317.JPG, JMO_2016_15318.JPG, ",1679,30,1670-30-verso,12,July,19,July,,10,,,,,,,,,,10,9,,,38,43,,,,4,5,"Drowned 5, two at St. Thomas Southwark, two at St. Katharine Tower, and one at St. Leonard Shoreditch",,26,,25,1,,,,,,76,,,,3,,,,,,,,,,,8,,,,,,,,,,2,6,,,,,,1,1,,,1,7,1,1,,,8,,,,,,,4,,3,,2,1,"Murthered at St. Andrew Holborn",,,1,"Kild by a fall out of a Window at St. James Clerkenwel",107,113,220,183,168,351,0,31,,130,0,11,3
310,84,85,1,"JMO_2016_15319.JPG, JMO_2016_15320.JPG, JMO_2016_15321.JPG, ",1670,31,1670-31-verso,19,July,26,July,2,9,,1,,,,,,,,6,11,,,58,40,1,,,14,2,"Drowned 2, one at St. Katharine Tower, and one at Rotherhith",,28,1,27,1,1,,,,,71,,,,1,,4,4,,1,,,1,,,,,,,,,,,,,3,1,,1,,,,1,,,,1,8,2,5,,2,8,,18,3,4,,2,5,,2,,2,1,"Bruised at St. Giles Cripplegate",,,5,"Burnt at St. Bartholomew Exchange 4; Kild by fall in a Lighter at St. Mary Whitechappel 1",112,100,312,191,381,372,0,21,0,130,0,11,3
311,85,86,1,"JMO_2016_15322.JPG, JMO_2016_15323.JPG, JMO_2016_15324.JPG, JMO_2016_15325.JPG, ",1670,32,1670-32-verso,26,July,2,August,5,8,,,,,,,,1,,4,8,,,65,49,,,,10,2,"Drowned 2, one at St. Martin in the fileds, and one at Waping in Sepney",,42,,33,1,2,,,,,113,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"one kild himself [illegible] Pistol at St. Gregories",4,"1 Blown up at the Late Fire at Savious Southwark; 1 one by a fall  [illegible] Tree at St. Andrew [illegible] shaft; 1 one with the tread [illegible] Horse at St. Botolph [illegible]; 1 one with a Crane at [illegible]; Plannet [number illegible]",135,120,255,239,231,470,,98,,130,0,11,3
312,86,87,1,"JMO_2016_15326.JPG, JMO_2016_15327.JPG, JMO_2016_15328.JPG, ",1670,33,1670-33-verso,2,August,9,August,3,8,,,,,,,,,,7,5,,,44,38,,,,8,2,"Drowned 2, one at St. Katherine Tower, and one at Rotherhith",,36,1,45,4,2,,,,,16,,,,2,,1,10,,1,,,,,,1,,,,8,,,,,,8,4,,,,,,2,,,,2,14,,6,,1,14,,38,5,3,,1,1,,2,,5,1,"Kild at St. Andrew Holborn",,,,,118,99,287,229,256,485,0,15,,130,0,11,3
