death,count,descriptive_text,joinid,year,week_id,year_range,split_year
Found Dead,,,8July15July1701,1701,1700-1701-30,1700-1701,1700/1701
Executed,,,8July15July1701,1701,1700-1701-30,1700-1701,1700/1701
Killed,,,8July15July1701,1701,1700-1701-30,1700-1701,1700/1701
Suicide,,,8July15July1701,1701,1700-1701-30,1700-1701,1700/1701
Other,1,Kill'd by a Fall from a House at St Giles by Cripplegate 1.,8July15July1701,1701,1700-1701-30,1700-1701,1700/1701
Aged,26,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Ague,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Apoplexy,1,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Asthma,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Bed-ridden,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Blasted,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Bleeding,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Bloody-flux,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Calenture,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Cancer,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Canker,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Chicken Pox,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Child-Bed,6,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Chrisoms,1,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Cold,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Colick,2,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Consumption,45,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Convulsion,144,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Cough,1,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Cramp,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Diabetes,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Dropsie,11,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Falling-sickness,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Fever,61,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Fistula,2,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Flox and Small-Pox,12,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Flux,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
French-Pox,2,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Frets,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Gangreen,1,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Gout,1,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Gravel,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Grief,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Griping in the Guts,36,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Headache,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Headmouldshot,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Hooping Cough,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Hiccough,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Horshoehead,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Impostume,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Infants,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Inflammation,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Itch,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Jaundies,1,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Jaw-fallen,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Kings Evil,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Leprosie,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Lethargy,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Liver-grown,1,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Looseness,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Lunatick and Frenzy,2,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Malignant Fever,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Meagrim,1,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Measles,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Miscarriage,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Mortification,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Mother,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Noli me tangere,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Palsie,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Plague,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Planet,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Plurisie,3,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Purples,1,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Quinsie,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Rash,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Rheumatism,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Rickets,6,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Rising of the Lights,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Running of the Reins,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Rupture,1,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Scald Head,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Scarlet Fever,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Sciatica,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Scowring,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Scurvy,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Sores,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Shingles,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Spleen,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Spotted-Fever,2,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
St. Anthony's Fire,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Starved,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Stone,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Stopping of the Stomach,6,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Strangury,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Strongullion,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Suddenly,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Surfeit,1,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Swelling in the Throat,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Swine-Pox,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Teeth,38,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Thrush,2,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Tissick,2,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Tympany,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Twisting of the Guts,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Ulcer,1,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Vapours,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Vomiting,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Water in the Head,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Wen,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Wind,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Wolf,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Worms,1,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Abortive,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Overlaid,2,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Still-born,7,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Drowned,5,Drowned 5. One at St Dunstan in the East. One at St Dunstan at Stepny. Two in the Thames at St Paul at Shadwel. And one at  St Clement Danes.,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Found Dead,1,Found dead at St Paul at Shadwel 1.,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Executed,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Killed,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Suicide,,,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Other,2,One in the Fall of feveral Piggs of lead at St Dunslan in the East 1; And one by a Pot at St Giles in the Fields 1.,15July22July1701,1701,1700-1701-31,1700-1701,1700/1701
Aged,22,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Ague,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Apoplexy,1,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Asthma,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Bed-ridden,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Blasted,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Bleeding,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Bloody-flux,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Calenture,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Cancer,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Canker,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Chicken Pox,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Child-Bed,3,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Chrisoms,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Cold,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Colick,2,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Consumption,48,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Convulsion,139,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Cough,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Cramp,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Diabetes,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Dropsie,15,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Falling-sickness,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Fever,38,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Fistula,2,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Flox and Small-Pox,22,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Flux,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
French-Pox,1,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Frets,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Gangreen,1,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Gout,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Gravel,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Grief,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Griping in the Guts,37,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Headache,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Headmouldshot,1,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Hooping Cough,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Hiccough,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Horshoehead,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Impostume,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Infants,1,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Inflammation,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Itch,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Jaundies,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Jaw-fallen,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Kings Evil,2,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Leprosie,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Lethargy,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Liver-grown,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Looseness,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Lunatick and Frenzy,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Malignant Fever,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Meagrim,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Measles,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Miscarriage,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Mortification,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Mother,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Noli me tangere,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Palsie,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Plague,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Planet,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Plurisie,2,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Purples,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Quinsie,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Rash,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Rheumatism,1,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Rickets,9,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Rising of the Lights,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Running of the Reins,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Rupture,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Scald Head,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Scarlet Fever,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Sciatica,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Scowring,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Scurvy,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Sores,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Shingles,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Spleen,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Spotted-Fever,1,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
St. Anthony's Fire,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Starved,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Stone,1,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Stopping of the Stomach,5,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Strangury,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Strongullion,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Suddenly,1,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Surfeit,3,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Swelling in the Throat,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Swine-Pox,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Teeth,28,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Thrush,2,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Tissick,1,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Tympany,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Twisting of the Guts,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Ulcer,2,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Vapours,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Vomiting,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Water in the Head,1,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Wen,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Wind,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Wolf,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Worms,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Abortive,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Overlaid,1,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Still-born,2,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Drowned,3,"One in the Thames, Buried at St Andrews in Holborn. And Two Brothers at London-Bridge, Buried at St Bridget alias Brides.",22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Found Dead,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Executed,,,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Killed,1,One with a Sword at St Giles in the Fields,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Suicide,1,"Strangled herself, Buried in a Cross-way at St Margaret in Westminster 1",22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Other,1,And one at St James in Westminster.,22July29July1701,1701,1700-1701-32,1700-1701,1700/1701
Aged,25,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Ague,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Apoplexy,5,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Asthma,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Bed-ridden,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Blasted,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Bleeding,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Bloody-flux,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Calenture,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Cancer,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Canker,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Chicken Pox,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Child-Bed,5,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Chrisoms,1,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Cold,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Colick,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Consumption,38,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Convulsion,126,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Cough,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Cramp,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Diabetes,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Dropsie,8,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Falling-sickness,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Fever,41,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Fistula,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Flox and Small-Pox,13,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Flux,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
French-Pox,1,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Frets,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Gangreen,1,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Gout,1,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Gravel,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Grief,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Griping in the Guts,35,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Headache,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Headmouldshot,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Hooping Cough,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Hiccough,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Horshoehead,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Impostume,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Infants,3,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Inflammation,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Itch,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Jaundies,1,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Jaw-fallen,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Kings Evil,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Leprosie,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Lethargy,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Liver-grown,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Looseness,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Lunatick and Frenzy,1,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Malignant Fever,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Meagrim,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Measles,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Miscarriage,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Mortification,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Mother,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Noli me tangere,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Palsie,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Plague,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Planet,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Plurisie,2,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Purples,2,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Quinsie,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Rash,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Rheumatism,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Rickets,5,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Rising of the Lights,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Running of the Reins,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Rupture,1,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Scald Head,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Scarlet Fever,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Sciatica,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Scowring,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Scurvy,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Sores,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Shingles,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Spleen,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Spotted-Fever,1,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
St. Anthony's Fire,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Starved,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Stone,2,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Stopping of the Stomach,7,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Strangury,1,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Strongullion,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Suddenly,1,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Surfeit,1,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Swelling in the Throat,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Swine-Pox,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Teeth,19,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Thrush,2,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Tissick,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Tympany,2,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Twisting of the Guts,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Ulcer,1,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Vapours,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Vomiting,1,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Water in the Head,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Wen,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Wind,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Wolf,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Worms,1,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Abortive,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Overlaid,3,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Still-born,5,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Drowned,7,One at St Magnus by London-Bridge. One at St Olave in Southwark. One at St Saviour in Southwark. One in a Tub of Soup Suds at St Katharine by the Tower. One at Lambeth. One a Man unknown at St Margaret in Westminster. And one at St Martin in the Fields.,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Found Dead,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Executed,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Killed,1,One by a Coach at St Ann in Westminster.,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Suicide,,,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Other,1,And one by a Fall out of a Window at St Martin in the Fields.,29July5August1701,1701,1700-1701-33,1700-1701,1700/1701
Aged,15,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Ague,,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Apoplexy,2,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Asthma,,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Bed-ridden,,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Blasted,,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Bleeding,,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Bloody-flux,,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Calenture,,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Cancer,2,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Canker,1,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Chicken Pox,,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Child-Bed,2,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Chrisoms,3,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Cold,,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Colick,2,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
Consumption,43,,5August12August1701,1701,1700-1701-34,1700-1701,1700/1701
