Omeka Item #,DataScribe Item #,DataScribe Record #,DataScribe Record Position,Year,is_missing,is_illegible,Week,is_missing,is_illegible,Unique ID,is_missing,is_illegible,Start Day,is_missing,is_illegible,Start Month,is_missing,is_illegible,End Day,is_missing,is_illegible,End month,is_missing,is_illegible,St Alban Woodstreet - Buried,is_missing,is_illegible,Alhallows Barking - Buried,is_missing,is_illegible,Allhallows Breadstreet - Buried,is_missing,is_illegible,Allhallows Great - Buried,is_missing,is_illegible,Alhallows Honylane - Buried,is_missing,is_illegible,Alhallows Lesse - Buried,is_missing,is_illegible,Alhallows Lumbardstreet - Buried,is_missing,is_illegible,Alhallows Stayning - Buried,is_missing,is_illegible,Alhallows the Wall - Buried,is_missing,is_illegible,St Alphage - Buried,is_missing,is_illegible,St Andrew Hubbard - Buried,is_missing,is_illegible,St Andrew Undershaft - Buried,is_missing,is_illegible,St Andrew Wardrobe - Buried,is_missing,is_illegible,St Ann Aldersgate - Buried,is_missing,is_illegible,St Ann Blackfryers - Buried,is_missing,is_illegible,St Antholins Parish - Buried,is_missing,is_illegible,St Austins Parish - Buried,is_missing,is_illegible,St Bartholomew Exchange - Buried,is_missing,is_illegible,St Bennet Fynck - Buried,is_missing,is_illegible,St Bennet Gracechurch - Buried,is_missing,is_illegible,St Bennet Paulswharf - Buried,is_missing,is_illegible,St Bennet Sherehog - Buried,is_missing,is_illegible,St Botolph Billingsgate - Buried,is_missing,is_illegible,Christ Church - Buried,is_missing,is_illegible,St Christophers - Buried,is_missing,is_illegible,St Clement Eastcheap - Buried,is_missing,is_illegible,St Dionis Backchurch - Buried,is_missing,is_illegible,St Dunstan East - Buried,is_missing,is_illegible,St Edmund Lumbardstr. - Buried,is_missing,is_illegible,St Ethelborough - Buried,is_missing,is_illegible,St Faith - Buried,is_missing,is_illegible,St Foster - Buried,is_missing,is_illegible,St Gabriel Fenchurch - Buried,is_missing,is_illegible,St George Botolphlane - Buried,is_missing,is_illegible,St Gregory by St Pauls - Buried,is_missing,is_illegible,St Hellen - Buried,is_missing,is_illegible,St James Dukes place - Buried,is_missing,is_illegible,St James Garlickhithe - Buried,is_missing,is_illegible,St John Baptist - Buried,is_missing,is_illegible,St John Evangelist - Buried,is_missing,is_illegible,St John Zachary - Buried,is_missing,is_illegible,St Katharine Coleman - Buried,is_missing,is_illegible,St Katharine Creechurch - Buried,is_missing,is_illegible,St Lawrence Jewry - Buried,is_missing,is_illegible,St Lawrence Pountney - Buried,is_missing,is_illegible,St Leonard Eastcheap - Buried,is_missing,is_illegible,St Leonard Fosterlane - Buried,is_missing,is_illegible,St Magnus Parish - Buried,is_missing,is_illegible,St Margaret Lothbury - Buried,is_missing,is_illegible,St Margaret Moses - Buried,is_missing,is_illegible,St Margaret Newfishstreet - Buried,is_missing,is_illegible,St Margaret Pattons - Buried,is_missing,is_illegible,St Mary Abchurch - Buried,is_missing,is_illegible,St Mary Aldermanbury - Buried,is_missing,is_illegible,St Mary Aldermary - Buried,is_missing,is_illegible,St Mary le Bow - Buried,is_missing,is_illegible,St Mary Bothaw - Buried,is_missing,is_illegible,St Mary Colechurch - Buried,is_missing,is_illegible,St Mary Hill - Buried,is_missing,is_illegible,St Mary Mounthaw - Buried,is_missing,is_illegible,St Mary Sommerset - Buried,is_missing,is_illegible,St Mary Stayning - Buried,is_missing,is_illegible,St Mary Woolchurch - Buried,is_missing,is_illegible,St Mary Woolnoth - Buried,is_missing,is_illegible,St Martin Iremongerlane - Buried,is_missing,is_illegible,St Martin Ludgate - Buried,is_missing,is_illegible,St Martin Orgars - Buried,is_missing,is_illegible,St Martin Outwich - Buried,is_missing,is_illegible,St Martin Vintrey - Buried,is_missing,is_illegible,St Matthew Fridaystreet - Buried,is_missing,is_illegible,St Maudlin Milkstreet - Buried,is_missing,is_illegible,St Maudlin Oldfishstreet - Buried,is_missing,is_illegible,St Michael Bassishaw - Buried,is_missing,is_illegible,St Michael Cornhil - Buried,is_missing,is_illegible,St Michael Crookedlane - Buried,is_missing,is_illegible,St Michael Queenhithe - Buried,is_missing,is_illegible,St Michael Quern - Buried,is_missing,is_illegible,St Michael Royal - Buried,is_missing,is_illegible,St Michael Woodstreet - Buried,is_missing,is_illegible,St Mildred Breadstreet - Buried,is_missing,is_illegible,St Mildred Poultrey - Buried,is_missing,is_illegible,St Nicholas Acons - Buried,is_missing,is_illegible,St Nicholas Coleabby - Buried,is_missing,is_illegible,St Nicholas Olaves - Buried,is_missing,is_illegible,St Olave Hartstreet - Buried,is_missing,is_illegible,St Olave Jewry - Buried,is_missing,is_illegible,St Olave Silverstreet - Buried,is_missing,is_illegible,St Pancras Pancras street - Buried,is_missing,is_illegible,St Peter Cheap - Buried,is_missing,is_illegible,St Peter Cornhil - Buried,is_missing,is_illegible,St Peter Paulswharf - Buried,is_missing,is_illegible,St Peter Poor - Buried,is_missing,is_illegible,St Steven Colemanstreet - Buried,is_missing,is_illegible,St Steven Walbrook - Buried,is_missing,is_illegible,St Swithin- Buried,is_missing,is_illegible,St Thomas Apostles - Buried,is_missing,is_illegible,Trinity Parish - Buried,is_missing,is_illegible,Christened in the 97 parishes within the walls,is_missing,is_illegible,Buried in the 97 parishes within the walls,is_missing,is_illegible,Plague in the 97 parishes within the walls,is_missing,is_illegible,St Andrew Holborn - Buried,is_missing,is_illegible,St Bartholomew Great - Buried,is_missing,is_illegible,St Bartholomew Less - Buried,is_missing,is_illegible,St Botolph Aldersgate - Buried,is_missing,is_illegible,St Botolph Aldgate - Buried,is_missing,is_illegible,St Botolph Bishopsgate - Buried,is_missing,is_illegible,Bridewel Precinct - Buried,is_missing,is_illegible,St Bridget - Buried,is_missing,is_illegible,St Dunstan West - Buried,is_missing,is_illegible,St George Southwark - Buried,is_missing,is_illegible,St Giles Cripplegate - Buried,is_missing,is_illegible,St John Southwark,is_missing,is_illegible,St Olave Southwark - Buried,is_missing,is_illegible,Saviours Southwark - Buried,is_missing,is_illegible,S Sepulchres Parish - Buried,is_missing,is_illegible,St Thomas Southwark - Buried,is_missing,is_illegible,Trinity Minories - Buried,is_missing,is_illegible,Pesthouse Without the Walls - Buried,is_missing,is_illegible,Christened in the parishes without the walls,is_missing,is_illegible,Buried in the parishes without the walls,is_missing,is_illegible,Plague in the parishes without the walls,is_missing,is_illegible,St. Ann in Middlesex - Buried,is_missing,is_illegible,Christ Church in Surry - Buried,is_missing,is_illegible,Christ Church in Middlesex - Buried,is_missing,is_illegible,St George in Bloomsbury - Buried,is_missing,is_illegible,St. George in Middlesex,is_missing,is_illegible,St. George by Queen's Square - Buried,is_missing,is_illegible,St Giles in the Field - Buried,is_missing,is_illegible,Hackney Parish - Buried,is_missing,is_illegible,St John at Wapping - Buried,is_missing,is_illegible,St James Clerkenwel - Buried,is_missing,is_illegible,St Katharine Tower - Buried,is_missing,is_illegible,Lambeth Parish - Buried,is_missing,is_illegible,St Leonard Shoreditch - Buried,is_missing,is_illegible,St. Luke in Middlesex - Buried,is_missing,is_illegible,St Magdalen Bermondsey - Buried,is_missing,is_illegible,St Mary Islington - Buried,is_missing,is_illegible,St Mary Newington - Buried,is_missing,is_illegible,St Mary Whitechappel - Buried,is_missing,is_illegible,St Matthew at Bethnal Green - Buried,is_missing,is_illegible,St Pauls Shadwel - Buried,is_missing,is_illegible,Rothorith Parish - Buried,is_missing,is_illegible,Stepney Parish - Buried,is_missing,is_illegible,Christened in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Buried in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,Plague in the out-Parishes in Middlesex and Surrey,is_missing,is_illegible,St Ann in Westminster - Buried,is_missing,is_illegible,St Clement Danes - Buried,is_missing,is_illegible,St George by Hanover Square - Buried,is_missing,is_illegible,St James in Westminster - Buried,is_missing,is_illegible,St. John the Evangelist - Buried,is_missing,is_illegible,St Paul Covent Garden - Buried,is_missing,is_illegible,St Martin in the fields - Buried,is_missing,is_illegible,St Mary Savoy - Buried,is_missing,is_illegible,St Mary le Strand,is_missing,is_illegible,St Margaret Westminster - Buried,is_missing,is_illegible,Pesthouse in Westminster,is_missing,is_illegible,Christened in the Parishes and Liberties of Westminster,is_missing,is_illegible,Buried in the Parishes and Liberties of Westminster,is_missing,is_illegible,Plague in the Parishes and Liberties of Westminster,is_missing,is_illegible
898,356,282,1,1702,,,28,,,Laxton-1702-28-recto,,,23,,,June,,,30,,,June,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,2,,,1,,,1,,,1,,,,1,,1,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,28,,,28,,,0,,,9,,,4,,,1,,,2,,,4,,,6,,,2,,,6,,,2,,,5,,,12,,,,1,,12,,,11,,,7,,,,1,,1,,,,1,,93,,,84,,,0,,,,1,,,1,,,1,,,1,,,1,,,1,,15,,,2,,,1,,,5,,,3,,,3,,,7,,,,1,,7,,,1,,,3,,,13,,,,1,,4,,,10,,,25,,,102,,,99,,,0,,,8,,,4,,,,1,,9,,,,1,,5,,,34,,,2,,,,1,,15,,,,1,,79,,,77,,,0,,
1078,408,499,1,1703,,,28,,,Laxton-1703-28-recto,,,22,,,June,,,29,,,June,,,,1,,2,,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,2,,,,1,,,1,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,2,,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,2,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,1,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,3,,,3,,,1,,,,1,,,1,,24,,,39,,1,0,,,14,,,2,,,,1,,3,,,7,,,7,,,,1,,6,,,4,,,7,,,14,,,,1,,5,,,3,,,6,,,3,,,,1,,,1,,86,,,81,,,0,,,,1,,3,,,,1,,,1,,,1,,,1,,17,,,,1,,,1,,4,,,4,,,7,,,9,,,,1,,5,,,3,,,2,,,15,,,,1,,7,,,4,,,26,,,88,,,106,,,0,,,7,,,6,,,,1,,13,,,,1,,3,,,18,,,3,,,,1,,12,,,,1,,57,,,62,,,0,,
1212,460,343,1,1704,,,28,,,Laxton-1704-28-recto,,,20,,,June,,,27,,,June,,,1,,,2,,,,1,,,1,,,1,,,1,,,1,,2,,,2,,,1,,,,1,,,1,,1,,,1,,,2,,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,5,,,,1,,,1,,2,,,1,,,1,,,,1,,1,,,1,,,,1,,,1,,2,,,2,,,2,,,,1,,2,,,,1,,1,,,2,,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,1,,,,1,,1,,,1,,,1,,,,1,,,1,,,1,,1,,,,1,,2,,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,7,,,1,,,1,,,,1,,,1,,52,,,63,,,0,,,17,,,,1,,,1,,1,,,8,,,7,,,,1,,2,,,2,,,7,,,19,,,,1,,11,,,4,,,6,,,1,,,,1,,,1,,85,,,85,,,0,,,,1,,1,,,,1,,,1,,,1,,,1,,25,,,1,,,4,,,4,,,5,,,,1,,9,,,,1,,5,,,,1,,4,,,14,,,,1,,10,,,4,,,31,,,93,,,117,,,0,,,13,,,6,,,,1,,17,,,,1,,7,,,33,,,1,,,,1,,15,,,,1,,56,,,92,,,0,,
1422,512,526,1,1705,,,28,,,Laxton-1705-28-recto,,,26,,,June,,,3,,,July,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,3,,,1,,,3,,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,3,,,1,,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,2,,,,1,,1,,,,1,,1,,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,2,,,,1,,3,,,,1,,,1,,30,,,40,,,,1,,23,,,,1,,,1,,3,,,9,,,11,,,,1,,7,,,3,,,6,,,23,,,,1,,15,,,6,,,14,,,2,,,,1,,,1,,101,,,122,,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,16,,,,1,,6,,,1,,,,1,,6,,,8,,,,1,,6,,,2,,,5,,,12,,,,1,,6,,,3,,,45,,,101,,,120,,,,1,,2,,,8,,,,1,,11,,,,1,,2,,,28,,,,1,,,1,,7,,,,1,,50,,,58,,,,1,
1554,564,584,1,1706,,,28,,, Laxton-1706-28-recto,,,,1,,,1,,2,,,July,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,2,,,,1,,1,,,1,,,,1,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,3,,,,1,,1,,,,1,,1,,,,1,,1,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,1,,,2,,,,1,,2,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,,1,,1,,,42,,,37,,,,1,,20,,,1,,,1,,,7,,,8,,,6,,,,1,,4,,,4,,,5,,,20,,,,1,,15,,,9,,,9,,,1,,,,1,,,1,,73,,,110,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,28,,,,1,,4,,,5,,,1,,,4,,,12,,,,1,,9,,,5,,,4,,,13,,,,1,,8,,,2,,,36,,,111,,,133,,,,1,,7,,,4,,,,1,,17,,,,1,,,1,,17,,,3,,,,1,,16,,,,1,,57,,,64,,,,1,
1731,615,836,1,1707,,,28,,,Laxton-1707-28-recto,,,,1,,,1,,24,,,June,,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,2,,,2,,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,26,,,31,,,,1,,12,,,,1,,,1,,4,,,13,,,6,,,,1,,5,,,6,,,7,,,22,,,,1,,10,,,4,,,5,,,4,,,3,,,,1,,91,,,101,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,25,,,2,,,5,,,4,,,4,,,4,,,10,,,,1,,7,,,3,,,2,,,16,,,,1,,5,,,5,,,39,,,102,,,134,,,,1,,4,,,7,,,,1,,20,,,,1,,3,,,27,,,,1,,,1,,19,,,,1,,57,,,80,,,,1,
1904,668,444,1,1708,,,28,,,Laxton-1708-28-recto,,,,1,,,1,,29,,,June,,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,2,,,,1,,1,,,,1,,1,,,,1,,1,,,,1,,,1,,3,,,1,,,,1,,,1,,2,,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,3,,,1,,,,1,,,1,,,1,,3,,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,2,,,,1,,2,,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,5,,,,1,,,1,,1,,,,1,,50,,,51,,,,1,,12,,,2,,,,1,,2,,,7,,,9,,,,1,,4,,,1,,,6,,,15,,,,1,,16,,,6,,,12,,,4,,,2,,,,1,,94,,,98,,,,1,,,1,,5,,,,1,,,1,,,1,,,1,,27,,,2,,,3,,,11,,,2,,,2,,,8,,,,1,,3,,,,1,,1,,,10,,,,1,,6,,,1,,,38,,,90,,,119,,,,1,,3,,,8,,,,1,,16,,,,1,,1,,,16,,,2,,,,1,,11,,,,1,,55,,,57,,,,1,
2046,720,590,1,1709,,,28,,,Laxton-1709-28-recto,,,,1,,,1,,28,,,June,,,2,,,3,,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,1,1,,1,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,1,,,2,,,1,,,,1,,1,,,,1,,1,,,1,,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,35,,,37,,,,1,,15,,,,1,,,1,,2,,,10,,,11,,,,1,,6,,,5,,,5,,,21,,,,1,,13,,,9,,,8,,,2,,,,1,,,1,,91,,,107,,,,1,,,1,,6,,,,1,,,1,,,1,,,1,,15,,,3,,,5,,,5,,,3,,,6,,,6,,,,1,,6,,,2,,,10,,,11,,,,1,,11,,,3,,,28,,,89,,,120,,,,1,,9,,,8,,,,1,,15,,,,1,,6,,,19,,,3,,,,1,,19,,,,1,,58,,,79,,,,1,
2178,772,851,1,1710,,,28,,,Laxton-1710-28-recto,,,,1,,,1,,27,,,June,,,1,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,3,,,2,,,1,,,3,,,,1,,,1,,1,,,,1,,1,,,1,,,,1,,,1,,2,,,,1,,1,,,,1,,1,,,1,,,1,,,,1,,1,,,,1,,,1,,1,,,2,,,2,,,,1,,,1,,,1,,,1,,2,,,3,,1,3,,,1,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,,1,,2,,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,3,,,,1,,,1,,1,,,,1,,37,,,55,,,,1,,20,,,,1,,1,,,5,,,18,,,14,,,,1,,7,,,3,,,12,,,40,,,,1,,14,,,19,,,17,,,2,,,,1,,,1,,72,,,172,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,34,,,4,,,5,,,7,,,7,,,6,,,12,,,,1,,8,,,5,,,,1,,13,,,,1,,8,,,2,,,56,,,103,,,169,,,,1,,10,,,14,,,,1,,22,,,,1,,12,,,29,,,3,,,,1,,17,,,,1,,47,,,107,,,,1,
2405,824,649,1,1711,,,28,,,Laxton-1711-28-recto,,,,1,,,1,,26,,,June,,,1,,,2,,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,3,,,1,,,1,,,,1,,,1,,1,,,14,,,31,,,,1,,16,,,,1,,2,,,5,,,7,,,6,,,,1,,8,,,,1,,9,,,16,,,,1,,10,,,14,,,16,,,1,,,,1,,,1,,83,,,110,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,22,,,2,,,4,,,5,,,2,,,2,,,9,,,,1,,3,,,,1,,2,,,11,,,,1,,7,,,3,,,32,,,93,,,104,,,,1,,8,,,9,,,,1,,21,,,,1,,1,,,17,,,3,,,,1,,18,,,,1,,67,,,77,,,,,
2561,876,888,1,1712,,,28,,,Laxton-1712-28-recto,,,,1,,,1,,24,,,June,,,,1,,4,,,,1,,,1,,,1,,1,,,,1,,2,,,2,,,1,,,,1,,,1,,,1,,2,,,2,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,4,,,1,,,1,,,,1,,2,,,2,,,,1,,,1,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,3,,,1,,,,1,,,1,,,1,,1,,,,1,,1,,,1,,,,1,,,1,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,2,,,1,,,1,,,2,,,1,,,1,,,43,,,55,,,,1,,21,,,2,,,1,,,2,,,9,,,6,,,1,,,4,,,4,,,5,,,33,,,,1,,18,,,15,,,3,,,3,,,,1,,,1,,94,,,127,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,17,,,,1,,9,,,4,,,5,,,6,,,6,,,,1,,4,,,6,,,,1,,11,,,,1,,10,,,6,,,49,,,84,,,136,,,,1,,10,,,8,,,,1,,12,,,,1,,3,,,31,,,3,,,,1,,17,,,,1,,66,,,84,,,,1,
2718,929,1334,1,1713,,,28,,, Laxton-1713-28-recto,,,,1,,,1,,30,,,June,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,1,1,,,1,,,1,,1,,,,1,,1,,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,2,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,1,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,3,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,34,,,36,,,,1,,11,,,,1,,1,,,4,,,11,,,5,,,,1,,7,,,1,,,3,,,21,,,,1,,11,,,8,,,9,,,6,,,,1,,,1,,101,,,98,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,22,,,1,,,7,,,2,,,,1,,5,,,8,,,,1,,5,,,,1,,,1,,11,,,,1,,7,,,,1,,25,,,86,,,95,,,,1,,4,,,8,,,,1,,14,,,,1,,,1,,29,,,1,,,,1,,12,,,,1,,56,,,68,,,,1,
3032,1033,762,1,1715,,,28,,,Laxton-1715-28-recto,,,,1,,,1,,28,,,June,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,1,,,1,,,3,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,1,,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,2,,,2,,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,,1,,2,,,,1,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,2,,,2,,,1,,,,1,,,1,,,1,,,1,,,1,,3,,,1,,,1,,,2,,,,1,,28,,,47,,,,1,,22,,,2,,,1,,,9,,,11,,,14,,,2,,,9,,,1,,,6,,,21,,,,1,,14,,,15,,,14,,,6,,,,1,,,1,,123,,,147,,,,1,,,1,,4,,,,1,,,1,,,1,,,1,,18,,,6,,,7,,,5,,,,1,,6,,,10,,,,1,,7,,,2,,,3,,,16,,,,1,,7,,,3,,,49,,,100,,,143,,,,1,,5,,,5,,,,1,,13,,,,1,,3,,,21,,,5,,,,1,,27,,,,1,,64,,,79,,,,1,
3188,1085,920,1,1716,,,28,,,Laxton-1716-28-recto,,,,1,,,1,,26,,,June,,,,1,,5,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,1,,,,1,,3,,,2,,,2,,,7,,,,1,,,1,,1,,,1,,,,1,,1,,,,1,,,1,,2,,,,1,,,1,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,1,,,2,,,,1,,1,,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,1,,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,,1,,1,,,,1,,1,,,,1,,,1,,2,,,,1,,,1,,,1,,,1,,1,,,2,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,2,,,,1,,,1,,1,,,,1,,49,,,53,,,,1,,23,,,,1,,1,,,1,,,12,,,4,,,,1,,3,,,2,,,6,,,17,,,,1,,19,,,22,,,16,,,3,,,,1,,,1,,99,,,129,,,,1,,,1,,3,,,,1,,,1,,,1,,,1,,26,,,5,,,6,,,7,,,2,,,3,,,3,,,,1,,3,,,1,,,,1,,12,,,,1,,8,,,,1,,33,,,108,,,112,,,,1,,12,,,6,,,,1,,21,,,,1,,4,,,29,,,1,,,,1,,15,,,,1,,73,,,88,,,,1,
