notesID|weekID|billsection|inputternote|notetype
628|1727/32|cods|1 missing cause, could not find discrepancy|totals discrepancy
629|1728/28|cods|First three causes (Abortive, Aged and Apoplexy) are partially obscured by blotches|part missing: illegible
630|1728/29|cods|Teeth and Tissick partially obscured by blotches|part missing: illegible
631|1729/12|cods|1 missing cause, could not find discrepancy|totals discrepancy
632|1731/19|cods|100 burial difference between causes and total sum.|totals discrepancy
633|1731/33|cods|1 missing cause, could not find discrepancy|totals discrepancy
634|1731/36|cods|1 missing cause, could not find discrepancy|totals discrepancy
635|1732/11|cods|1 additional cause, could not find discrepancy|totals discrepancy
636|1733/38|cods|1 missing cause, last column quite faded, could not identify discrepancy|totals discrepancy
637|1735/09|cods|Missing cause, could not find discrepancy|totals discrepancy
638|1735/16|cods|1 additional cause, could not find discrepancy|totals discrepancy
639|1735/28|cods|Missing cause, could not find disrepancy|totals discrepancy
640|1736/12|cods|Additional cause, could not find discrepancy|totals discrepancy
641|1737/06|cods|First casualty name obscured, count of 3|part missing: illegible
642|1737/18|cods|5 missing causes, could not find discrepancy|totals discrepancy
643|1738/11|cods|5 additional counts, same from burial total|totals discrepancy
644|1738/35|cods|1 missing cause, could not find discrepancy|totals discrepancy
645|1738/40|cods|Missing cause, could not find discrepancy|totals discrepancy
646|1738/43|cods|Causes combined: Abortive/Stillborn; Apoplexy/Suddenly; Asthma/Tissick; Collick/Gripes/Twisting in the guts; Cough/Hooping cough; Fever/Malignant/Scarlet/Spotted Fever/Purples; Gravel/Stone/Stranguary; Headmouldshot/Horseshoehead/Water in the head|format change
647|1738/44|cods|Bursten and Rupture combined|format change
648|1739/06|cods|8 missing causes, could not find discrepancy|totals discrepancy
649|1739/47|cods|1 missing burial, could not find discrepancy|totals discrepancy
650|1740/11|cods|1 missing burial, could not find discrepancy|totals discrepancy
651|1740/19|cods|10 missing causes, could not find discrepancy|totals discrepancy
652|1740/28|cods|3 additional causes, could not find discrepancy|totals discrepancy
653|1741/02|cods|Page very faded, hard to make out.|legibility
654|1741/25|cods|Additional cause, could not find discrepancy|totals discrepancy
655|1741/26|cods|Additional cause, could not find discrepancy|totals discrepancy
656|1741/48|cods|Missing cause, could not find discrepancy|totals discrepancy
657|1742/01|cods|Missing cause, could not find discrepancy|totals discrepancy
658|1742/03|cods|120 missing causes, could not find disrepancy|totals discrepancy
659|1742/09|cods|1 additional cause, could not find discrepancy|totals discrepancy
660|1742/23|cods|2 missing causes, could not find discrepancy|totals discrepancy
661|1742/39|cods|Missing cause, could not find discrepancy|totals discrepancy
662|1742/42|cods|4 missing causes, could not find discrepancy|totals discrepancy
663|1742/46|cods|2 additional causes, could not find discrepancy|totals discrepancy
664|1742/48|cods|5 missing causes, could not find discrepancy|totals discrepancy
665|1742/50|cods|6 missing causes, could not find discrepancy|totals discrepancy
666|1742/51|cods|2 missing causes, could not find discrepancy|totals discrepancy
667|1743/02|cods|Likely typeset error - Rupture listed as 38 and Smallpox as 4, neither in trend|interpretation
668|1743/17|cods|18 'died of a new epidemical distemper'|footnote
669|1743/24|cods|20 additional causes, could not find discrepancy|totals discrepancy
670|1743/37|cods|3 additional causes, could not find discrepancy|totals discrepancy
671|1743/44|cods|Aged and Asthma both too faded to completely make out single digit column, 12 therefore missing from total|totals discrepancy; part missing: illegible
672|1744/04|cods|3 additional causes, could not find discrepancy|totals discrepancy
673|1744/06|cods|Additional cause, could not find discrepancy|totals discrepancy
674|1744/13|cods|Additional cause, could not find discrepancy|totals discrepancy
675|1744/18|cods|Fever and Evil reversed in order, Fever listed as 1 and Evil as 40. Have included Fever as 40 and Evil as 1|interpretation
676|1744/22|cods|Additional cause, could not find discrepancy|totals discrepancy
677|1744/26|cods|Additional cause, could not find discrepancy|totals discrepancy
678|1744/36|cods|Scarlet Fever to Thrush obsured by ink blot|part missing: illegible
679|1744/49|cods|2 missing causes, could not find discrepancy|totals discrepancy
680|1745/05|cods|6 missing causes, potentially linked to Westminster absences|totals discrepancy
681|1745/06|cods|2 missing causes, could not find discrepancy|totals discrepancy
682|1745/14|cods|100 missing causes, probably due to overal total discrepancy.|totals discrepancy
683|1745/15|cods|Additional cause, could not find discrepancy|totals discrepancy
684|1745/21|cods|2 additional causes, could not find discrepancy|totals discrepancy
685|1745/23|cods|1 missing cause, could not find discrepancy|totals discrepancy
686|1745/25|cods|Third column distorted, page scanned in not lying flat|part missing: illegible
687|1745/40|cods|2 missing causes, could not find discrepancy|totals discrepancy
688|1745/49|cods|60 additional causes could not find discrepancy|totals discrepancy
689|1745/51|cods|2 additional causes, could not find discrepancy|totals discrepancy
690|1746/05|cods|11 additional causes, could not find discrepancy. Convulsion middle digit quite faded|totals discrepancy
691|1746/28|cods|Missing cause, could not find discrepancy|totals discrepancy
692|1746/29|cods|6 additonal causes, could not find discrepancy|totals discrepancy
693|1746/30|cods|1 additional cause, could not find disrepancy|totals discrepancy
694|1746/33|cods|Missing cause, could not find discrepancy|totals discrepancy
695|1746/40|cods|50 missing causes, could not find discrepancy-Small Pox count given as 1, potentially missing first digit of 51 but no sign of digit in tens column|totals discrepancy
696|1746/42|cods|2 missing causes, could not find discrepancy|totals discrepancy
697|1746/45|cods|2 additional causes, could not find discrepancy|totals discrepancy
698|1747/02|cods|2 additional causes, could not find discrepancy|totals discrepancy
699|1747/05|cods|4 additional causes, could not find discrepancy|totals discrepancy
700|1747/06|cods|9 missing causes, could not find discrepancy. Third column written on due to copy from British Library tightly bound|totals discrepancy
701|1747/07|cods|13 additional causes. Single digit of of Convulsion missing, listed as 120. Could not find discrepancies|totals discrepancy; part missing: illegible
702|1747/08|cods|5 additional causes, could not find discrepancy|totals discrepancy
703|1747/09|cods|Missing cause, could not find discrepancy|totals discrepancy
704|1747/10|cods|4 missing causes, could not find discrepancy|totals discrepancy
705|1747/32|cods|Missing cause, could not find discrepancy|totals discrepancy
706|1747/36|cods|Causes now all listed rather than just hose with count; Griping in the Guts absent, Gripes instead?|format change
707|1747/38|cods|100 additional causes, probably linked to discrepancy of 100 in total|totals discrepancy
708|1747/41|cods|Missing cause, could not find discrepancy|totals discrepancy
709|1748/02|cods|Week 2 second page entirely faded and unable to make out|part missing: illegible
710|1748/07|cods|10 additional causes, 9 probably from error in overall total, could not find discrepancy|totals discrepancy
711|1748/14|cods|9 missing causes, could not find discrepancy|totals discrepancy
712|1748/18|cods|Missing cause, could not find discrepancy|totals discrepancy
713|1749/06|cods|Missing cause, could not find discrepancy|totals discrepancy
714|1749/24|cods|Missing cause, could not find discrepancy|totals discrepancy
715|1749/32|cods|10 missing causes, could not find discrepancy|totals discrepancy
716|1749/52|cods|6 missing causes, could not find discrepancy|totals discrepancy
717|1750/08|cods|Missing cause, could not find discrepancy|totals discrepancy
718|1750/16|cods|Missing cause, could not find discrepancy|totals discrepancy
719|1750/30|cods|Missing cause, could not find discrepancy|totals discrepancy
720|1750/31|cods|39 missing causes Asthma, Dropsie, Convulsion and Fever somewhat obscured and contain discrepancies|totals discrepancy; part missing: illegible
721|1750/33|cods|11 missing causes, Dropsie and Feer partially obsured|totals discrepancy; part missing: illegible
722|1750/35|cods|Missing cause, could not find discrepancy.|totals discrepancy
723|1750/43|cods|Week 43 causes faded, 5 missing causes, could not find discrepancy on fiche|part missing: illegible; totals discrepancy
724|1751/04|cods|Missing cause, could not find discrepancy|totals discrepancy
725|1751/19|cods|7 additional causes, could not find disrepancy|totals discrepancy
726|1751/20|cods|57 missing causes, probably due to addition error in overall totals|totals discrepancy
727|1751/27|cods|Missing cause, could not find discrepancy|totals discrepancy
728|1751/33|cods|6 additional causes, could not find discrepancy|totals discrepancy
729|1751/43|cods|10 additional causes, could not find discrepancy|totals discrepancy
730|1752/08|cods|18 additional causes, probably due to error in total|totals discrepancy
731|1752/09|cods|One missing cause, and one casualty too faded to make out|part missing: illegible
732|1752/15|cods|2 additional causes, could not find discrepancy|totals discrepancy
733|1752/17|cods|59 additional causes, Teeth count much larger than in past, may be typeset error|totals discrepancy
734|1752/24|cods|10 missing causes, could not find discrepancy|totals discrepancy
735|1752/33|cods|6 additional causes, probably linked to discrepancies in burials|totals discrepancy
736|1753/29|cods|6 causes missing, casualty section marred by scratching and several Killed totals completly obscured|totals discrepancy
737|1754/10|cods|9 additional causes, could not find discrepancy|totals discrepancy
738|1754/21|cods|100 additional causes, probably due to discrepancy in total|totals discrepancy
739|1754/33|cods|2 additional causes, could not find discrepancy|totals discrepancy
740|1754/39|cods|Additional cause, could not find discrepancy|totals discrepancy
741|1754/50|cods|2 additional causes, could not find discrepancy|totals discrepancy
742|1755/04|cods|2 missing causes, could not find discrepancy|totals discrepancy
743|1755/05|cods|Missing cause, could not find discrepancy|totals discrepancy
744|1755/13|cods|6 missing causes, could not find discrepancy|totals discrepancy
745|1755/20|cods|Missing cause, could not find discrepancy|totals discrepancy
746|1755/31|cods|Additional burial, could not find discrepancy|totals discrepancy
747|1755/33|cods|10 additional causes, could not find discrepancy]|totals discrepancy
748|1755/40|cods|10 additional causes, could not find discrepancy|totals discrepancy
749|1755/50|cods|Missing cause, could not find discrepancy|totals discrepancy
750|1756/04|cods|Missing cause, could not find discrepancy|totals discrepancy
751|1756/09|cods|5 additional causes, could not find discrepancy|totals discrepancy
752|1756/31|cods|Missing cause, could not find discrepancy|totals discrepancy
753|1756/34|cods|Missing cause, could not find discrepancy|totals discrepancy
754|1756/45|cods|Missing cause, could not find discrepancy|totals discrepancy
755|1756/52|cods|Missing cause, could not find discrepancy|totals discrepancy
756|1757/16|cods|3 additional causes, could not find discrepancy|totals discrepancy
757|1757/36|cods|Additional cause, could not find discrepancy|totals discrepancy
758|1757/38|cods|2 additional causes, could not find discrepancy|totals discrepancy
759|1757/50|cods|2 missing causes, could not find discrepancy|totals discrepancy
760|1757/52|cods|Original bill not located for week 52|no Bill
761|1758/27|cods|Original bill has not been located for this week|no Bill
762|1758/31|cods|6 missing causes, could not find discrepancy|totals discrepancy
763|1758/32|cods|Original bill has not been located for week 32|no Bill
764|1758/33|cods|2 missing causes, could not find discrepancy|totals discrepancy
765|1758/43|cods|Missing cause, could not find discrepancy|totals discrepancy
766|1759/15|cods|4 missing causes, could not find discrepancy|totals discrepancy
767|1759/23|cods|15 missing causes, could not find discrepancy|totals discrepancy
768|1759/25|cods|Missing cause, could not find discrepancy|totals discrepancy
769|1759/29|cods|10 missing causes. Band of scratches across page, Stillborn, Convulsion and Consumption mostly obscured|totals discrepancy
770|1759/30|cods|5 missing causes, could not find discrepancy|totals discrepancy
771|1759/31|cods|10 missing causes, possibly linked to Westminster discrepancy|totals discrepancy
772|1759/35|cods|8 missing causes, fiche faded and hard to make out, could not find discrepancy|totals discrepancy
773|1759/37|cods|Parish counts faded|legibility
774|1759/39|cods|Parish counts faded|legibility
775|1759/42|cods|3 missing causes, could not find discrepancy|totals discrepancy
776|1760/01|cods|9 missing counts, probably due to discrepancy in total|totals discrepancy
777|1760/11|cods|Additional burial, could not find discrepancy|totals discrepancy
778|1760/15|cods|1 missing cause, scratches obscuring much of cause section, hard to make out counts and find discrepancy|totals discrepancy
779|1760/16|cods|Additional cause, could not find discrepancy|totals discrepancy
780|1760/17|cods|Page mostly obscured by blotch, unable to make causes out|part missing: illegible
781|1760/21|cods|Imposthume  to Lunatick completely faded out; 3 causes missing|part missing: illegible
782|1760/24|cods|10 missing causes, could not find discrepancy|totals discrepancy
783|1760/26|cods|2 additional causes, could not find discrepancy|totals discrepancy
784|1760/36|cods|3 missing causes, could not find discrepancy|totals discrepancy
785|1760/45|cods|2 missing causes, could not find discrepancy|totals discrepancy
786|1760/49|cods|20 additional causes, could not find discrepancy|totals discrepancy
787|1761/05|cods|21 additional causes, could not find discrepancy|totals discrepancy
788|1761/06|cods|Causes faded and too obscured to make out most, 74 missing|part missing: illegible
789|1761/07|cods|Additional cause, could not find discrepancy|totals discrepancy
790|1761/11|cods|4 missing causes, could not find discrepancy|totals discrepancy
791|1761/21|cods|Missing cause, could not find discrepancy|totals discrepancy
792|1761/26|cods|2 additional causes, could not find discrepancy|totals discrepancy
793|1761/34|cods|27 additional burials - possible typeset error for SmallPox, as 74, if digits switched then discrepancy cleared.|totals discrepancy
794|1761/42|cods|55 missing causes, could not find discrepancy|totals discrepancy
795|1761/43|cods|1 missing cause, could not find discrepancy|totals discrepancy
796|1761/47|cods|4 missing causes, could not find discrepancy|totals discrepancy
797|1762/04|cods|10 missing causes, could not find discrepancy|totals discrepancy
798|1762/05|cods|Missing count, probably due to totals discrepancy|totals discrepancy
799|1762/08|cods|40 missing causes, could not find discrepancy|totals discrepancy
800|1762/09|cods|Missing cause, could not find discrepancy|totals discrepancy
801|1762/19|cods|Missing cause, could not find discrepancy|totals discrepancy
802|1762/28|cods|First digit of Consumption missing, 90 missing once all other counts entered, included as 95|interpretation
803|1762/33|cods|Missing cause, could not find discrepancy|totals discrepancy
804|1762/41|cods|Missing cause, could not find discrepancy|totals discrepancy
805|1762/45|cods|20 additional causes, could not find discrepancy|totals discrepancy
806|1762/46|cods|7 missing causes, Asthma and Bedridden completely faded out|totals discrepancy; part missing: illegible
807|1763/04|cods|16 missing causes, could not find discrepancy|totals discrepancy
808|1763/05|cods|18 additional causes, probably due to discrepancy in totals|totals discrepancy
809|1763/07|cods|15 missing causes, could not find discrepancy|totals discrepancy
810|1763/26|cods|Missing cause, could not find discrepancy|totals discrepancy
811|1763/28|cods|Missing cause, could not find discrepancy|totals discrepancy
812|1763/35|cods|Missing cause, could not find discrepancy|totals discrepancy
813|1763/36|cods|Consumption and Convulsion faded and hard to make out on fiche|part missing: illegible
814|1763/37|cods|2 missing causes, could not find discrepancy|totals discrepancy
815|1763/40|cods|Smallpox faded, hard to make out second digit.|legibility
816|1763/44|cods|5 missing causes, could not find discrepancy|totals discrepancy
817|1763/50|cods|12 missing causes, could not find discrepancy|totals discrepancy
818|1764/06|cods|2 additional causes, could not find discrepancy|totals discrepancy
819|1764/07|cods|10 additional causes, could not find discrepancy|totals discrepancy
820|1764/09|cods|4 missing causes, could not find discrepancy|totals discrepancy
821|1764/10|cods|4 missing causes, could not find discrepancy|totals discrepancy
822|1764/15|cods|Missing cause, could not find discrepancy|totals discrepancy
823|1764/20|cods|Faded and hard to make out some causes|legibility
824|1764/25|cods|Accidents included, possibly in place of Killed|format change
825|1764/42|cods|Missing cause, could not find discrepancy|totals discrepancy
826|1765/09|cods|5 missing causes, faded path over Fistula to Grief on fiche|totals discrepancy; part missing: illegible
827|1765/42|cods|9 missing causes, could not find discrepancy|totals discrepancy
828|1765/48|cods|Missing cause, could not find discrepancy|totals discrepancy
829|1766/25|cods|5 additional causes, could not find discrepancy|totals discrepancy
830|1766/46|cods|6 additional causes, could not find discrepancy|totals discrepancy
831|1766/51|cods|6 missing causes, could not find discrepancy|totals discrepancy
832|1767/02|cods|3 missing causes, fiche blotched and right hand side of bill cropped, counts writen on|totals discrepancy; part missing: damaged
833|1768/49|cods|6 additional causes, could not find discrepancy|totals discrepancy
834|1768/52|cods|4 additional causes, could not find discrepancy|totals discrepancy
835|1769/09|cods|10 missing causes, could not find discrepancy|totals discrepancy
836|1769/11|cods|4 missing causes, fiche blotched and hard to make out|totals discrepancy
837|1769/37|cods|30 missing causes, fiche faded, could not find discrepancy|totals discrepancy
838|1769/38|cods|Additional cause, could not find discrepancy|totals discrepancy
839|1769/51|cods|Missing cause, could not find discrepancy|totals discrepancy
840|1770/16|cods|2 missing causes, could not find discrepancy|totals discrepancy
841|1771/07|cods|Faded across Consumption and Convulsion.|legibility
842|1771/10|cods|Missing cause, could not find discrepancy|totals discrepancy
843|1771/12|cods|8 additional causes, could not find discrepancy|totals discrepancy
844|1771/16|cods|6 missing causes, could not find discrepancy|totals discrepancy
845|1771/24|cods|Missing cause, could not find discrepancy|totals discrepancy
846|1771/42|cods|Missing cause, could not find discrepancy|totals discrepancy
847|1772/02|cods|Additional burial, could not find discrepancy|totals discrepancy
848|1772/05|cods|2 missing causes, could not find discrepancy|totals discrepancy
849|1772/28|cods|9 additional causes, probably linked to discrepancy in burial totals|totals discrepancy
850|1772/32|cods|3 missing causes, could not find discrepancy|totals discrepancy
851|1772/34|cods|Additional cause, could not find discrepancy|totals discrepancy
852|1772/40|cods|Additional cause, could not find discrepancy|totals discrepancy
853|1772/47|cods|Missing cause, could not find discrepancy|totals discrepancy
854|1772/52|cods|3 missing causes, could not find discrepancy|totals discrepancy
855|1773/04|cods|Missing cause, could not find discrepancy|totals discrepancy
856|1773/35|cods|2 missing causes, could not find discrepancy|totals discrepancy
857|1773/37|cods|4 missing causes, fiche photocopied and blotched|totals discrepancy
858|1773/43|cods|Missing bill - noted as 'original bill could not be found' for week 43|no Bill
859|1773/50|cods|Fiche is of photocopy, blotched and right hand column of causes cropped.|part missing: damaged
860|1774/10|cods|Bill for week 10 missing - 'original bill cannot be located for this week' noted in fiche|no Bill
861|1774/13|cods|9 additional causes, could not find discrepancy|totals discrepancy
862|1774/36|cods|36 missing causes, probably due to total discrepancies|totals discrepancy
863|1774/44|cods|20 missing causes, probably due to discrepancy in totals|totals discrepancy
864|1774/51|cods|20 missing causes, could not find discrepancy|totals discrepancy
865|1775/10|cods|Missing cause, could not find discrepancy|totals discrepancy
866|1775/11|cods|10 missing causes, could not find discrepancy|totals discrepancy
867|1775/18|cods|10 additional causes, could not find discrepancy|totals discrepancy
868|1775/19|cods|Missing cause, possibly due to error in overall total|totals discrepancy
869|1775/49|cods|9 additional causes, could not find discrepancy|totals discrepancy
870|1776/03|cods|Missing cause, could not find discrepancy|totals discrepancy
871|1776/46|cods|Missing cause, could not find discrepancy|totals discrepancy
872|1776/51|cods|Week 51 fiche very blotched, hard to make out|legibility
873|1776/52|cods|2 additional causes, could not find discrepancy]|totals discrepancy
874|1777/02|cods|Bill faded out|part missing: illegible
875|1777/22|cods|Fiche heavily obscured by blotches,  could not make out discrepancies|totals discrepancy; part missing: illegible
876|1777/24|cods|Fiche heavily obscured by blotches 2 missing causes, could not find discrepancy|totals discrepancy; part missing: illegible
877|1777/25|cods|1 missing burial, could not find discrepancy, fiche blotched|totals discrepancy
878|1777/27|cods|Page heavily obscured by blotches, 15 additional burials, could not find discrepancy|totals discrepancy
879|1777/36|cods|Missing cause, could not find discrepancy|totals discrepancy
880|1778/03|cods|Second digit of Small Pox missing, 9 missing from total without so included as 39|interpretation
881|1778/37|cods|Missing cause, could not find discrepancy|totals discrepancy
882|1779/17|cods|Additional cause, could not find discrepancy|totals discrepancy
883|1779/20|cods|Right hand side of fiche obscured by blotching, 38 missing causes|part missing: illegible
884|1779/23|cods|6 missing causes, could not find discrepancy|totals discrepancy
885|1779/34|cods|First digit of Fever obscured, 20 missing from total, included as 28|interpretation
886|1779/43|cods|Second digit of Smallpox missing, 50 missing from total, so included as 50|interpretation
887|1780/01|cods|16 missing causes, faded patches across Gravel to Horseshoehead on fiche|totals discrepancy; part missing: illegible
888|1780/15|cods|Additional cause, could not find discrepancy|totals discrepancy
889|1780/24|cods|Second digit of Smallpox missing, 10 missing from total, included as 10|interpretation
890|1780/43|cods|19 missing causes, could not find discrepancy other than fever low, possibly typeset error|totals discrepancy
891|1781/04|cods|10 missing causes, could not find discrepancy|totals discrepancy
892|1781/21|cods|Additional cause, could not find discrepancy|totals discrepancy
893|1781/52|cods|36 missing counts, probably linked to total discrepancy|totals discrepancy
894|1783/09|cods|3 missing causes. Small Pox and sores missing due to right hand side of page being ripped|totals discrepancy; part missing: damaged
895|1783/12|cods|7 missing causes. Small Pox and sores missing due to right hand side of page being ripped|totals discrepancy; part missing: damaged
896|1783/45|cods|Additional cause, could not find discrepancy|totals discrepancy
897|1784/24|cods|20 additional counts, probably due to error in totals|totals discrepancy
898|1785/13|cods|100 missing causes, probably due to discrepancies in total|totals discrepancy
899|1785/21|cods|Missing cause, could not find discrepancy|totals discrepancy
900|1785/34|cods|9 missing causes, could not find discrepancy|totals discrepancy
901|1786/05|cods|100 missing causes, probably linked to totals discrepancy|totals discrepancy
902|1786/14|cods|10 missing causes, could not find discrepancy|totals discrepancy
903|1786/25|cods|Additional cause, could not find discrepancy|totals discrepancy
904|1786/26|cods|8 missing causes, could not find discrepancy|totals discrepancy
905|1786/36|cods|20 missing counts, probably due to discrepancy in total|totals discrepancy
906|1786/46|cods|2 missing causes, could not find discrepancy|totals discrepancy
907|1786/49|cods|6 missing causes, could not find discrepancy|totals discrepancy
908|1786/52|cods|Missing cause, could not find discrepancy|totals discrepancy
909|1787/10|cods|Additional  cause, could not find discrepancy|totals discrepancy
910|1787/20|cods|Fiche blotched, hard to make out|legibility
911|1787/27|cods|Missing cause, could not find discrepancy|totals discrepancy
912|1787/31|cods|Missing cause, could not find discrepancy|totals discrepancy
913|1787/42|cods|Page corner ripped, Small Pox missing. First digit 7|part missing: damaged
914|1787/52|cods|88 additional causes: note of 'Executed 88 at Christ Church in Newgate Street, in the course of the year 1787 of the gaol of Newgate.|totals discrepancy; footnote
915|1788/02|cods|Original bill for week 2 missing.|no Bill
916|1788/16|cods|20 additional causes, could not find discrepancy|totals discrepancy
917|1788/22|cods|2 missing causes, could not find discrepancy|totals discrepancy
918|1788/29|cods|71 missing causes, diseases and casualties are idential to Week 30, possibly duplicate page mistake|totals discrepancy
919|1788/51|cods|Missing cause, could not find discrepancy|totals discrepancy
920|1789/01|cods|Additional cause, could not find discrepancy|totals discrepancy
921|1789/08|cods|Missing cause, could not find discrepancy|totals discrepancy
922|1789/10|cods|98 additional causes, 100 from total discrepancies, likely 2 missing cause, could not find errors|totals discrepancy
923|1789/44|cods|Tear in right hand side of bill, 7 missing causes, probably in Swelling - Tissick.|part missing: damaged
924|1789/50|cods|2 missing causes, could not find discrepancy|totals discrepancy
925|1789/52|cods|Stranguary to Teeth missing as edge of bill ripped.|part missing: damaged
926|1790/18|cods|2 missing causes, could not find discrepancy|totals discrepancy
927|1790/21|cods|2 additional causes, could not find discrepancy|totals discrepancy
928|1790/32|cods|30 missing causes, could not find discrepancy.|totals discrepancy
929|1790/42|cods|Missing cause, could not find discrepancy|totals discrepancy
930|1791/37|cods|Original bill could not be located for week 37.|no Bill
931|1791/52|cods|2 missing causes, some blotching on fiche|totals discrepancy
932|1792/01|cods|Week 1 missing, original bill not located|no Bill
933|1793/25|cods|Missing cause, could not find discrepancy|totals discrepancy
934|1793/27|cods|Missing cause, could not find discrepancy|totals discrepancy
935|1793/35|cods|Missing cause, could not find discrepancy|totals discrepancy
936|1793/41|cods|8 additional causes, could not find discrepancy|totals discrepancy
937|1794/22|cods|Missing cause, could not find discrepancy|totals discrepancy
938|1794/34|cods|10 additional causes, could not find discrepancy|totals discrepancy
939|1795/01|cods|Additional cause, could not find discrepancy|totals discrepancy
940|1795/04|cods|5 missing causes, could not find discrepancy|totals discrepancy
941|1795/07|cods|Missing count, could not find discrepancy|totals discrepancy
942|1795/09|cods|Missing cause, could not find discrepancy|totals discrepancy
943|1795/11|cods|40 missing causes, probably due to error in totals|totals discrepancy
944|1795/14|cods|Additional cause, could not find discrepancy|totals discrepancy
945|1795/15|cods|Missing cause could not find discrepancy|totals discrepancy
946|1795/22|cods|Original bill cannot be located for week 22|no Bill
947|1795/30|cods|Missing cause, could not find discrepancy|totals discrepancy
948|1795/31|cods|2 missing burials, could not find discrepancy|totals discrepancy
949|1795/38|cods|6 missing causes, could not find discrepancy|totals discrepancy
950|1795/39|cods|90 missing causes, probably due to error in totals|totals discrepancy
951|1795/46|cods|Missing cause, could not find discrepancy|totals discrepancy
952|1795/48|cods|Typeset error for Dropsy and Diabetes, former included here as 17 as second digit missing and shifted up.|interpretation
953|1796/02|cods|4 additional causes, could not find discrepancy|totals discrepancy
954|1796/07|cods|10 missing causes, could not find discrepancy|totals discrepancy
955|1796/11|cods|2 missing causes, could not find discrepancy|totals discrepancy
956|1796/15|cods|2 missing causes, could not find discrepancy|totals discrepancy
957|1796/16|cods|7 missing causes, could not find discrepancy|totals discrepancy
958|1796/18|cods|Missing cause, could not find discrepancy|totals discrepancy
959|1796/19|cods|1 missing cause, could not find discrepancy|totals discrepancy
960|1796/27|cods|10 missing causes, could not find discrepancy|totals discrepancy
961|1796/28|cods|11 missing causes, could not find discrepancy|totals discrepancy
962|1796/38|cods|3 additional causes, possibly linked to error in Within the Walls burials|totals discrepancy
963|1796/40|cods|3 missing causes, could not find discrepancy|totals discrepancy
964|1796/50|cods|2 missing causes, could not find discrepancy|totals discrepancy
965|1796/51|cods|Missing cause, could not find discrepancy|totals discrepancy
966|1796/52|cods|24 missing causes, could not find discrepancy|totals discrepancy
967|1797/05|cods|Missing cause, right hand side of bill ripped, possibly count removed.|totals discrepancy
968|1797/09|cods|2 missing causes, could not find discrepancy|totals discrepancy
969|1797/37|cods|21 missing causes, could not find discrepancy|totals discrepancy
970|1797/38|cods|9 missing causes, could not find discrepancy|totals discrepancy
971|1797/47|cods|20 missing causes, probably linked to overall burial totals discrepancy|totals discrepancy
972|1798/02|cods|Missing cause, could not find discrepancy|totals discrepancy
973|1798/19|cods|5 missing causes, could not find discrepancy|totals discrepancy
974|1798/41|cods|3 missing causes, right hand side of bill torn and obscuring some of counts|totals discrepancy; part missing: damaged
975|1798/47|cods|Additional cause, possibly linked to additional burial in Outparishes.|totals discrepancy
976|1799/05|cods|Original bill for week 5 missing|no Bill
977|1799/19|cods|10 additional causes, could not find discrepancy|totals discrepancy
978|1799/27|cods|10 missing causes, possibly linked to discrepancy in Westminster|totals discrepancy
979|1800/04|cods|17 additional causes, could not find discrepancy|totals discrepancy
980|1800/05|cods|Missing cause, could not find discrepancy|totals discrepancy
981|1800/15|cods|Top right hand corner of bill ripped off, Small Pox and Sores missing.|part missing: damaged
982|1801/02|cods|Additional cause, could not find discrepancy|totals discrepancy
983|1801/16|cods|6 additional causes, could not find discrepancy|totals discrepancy
984|1801/24|cods|Missing cause, could not find discrepancy|totals discrepancy
985|1801/38|cods|2 missing causes, could not find discrepancy|totals discrepancy
986|1802/03|cods|10 additional causes, could not find discrepancy|totals discrepancy
987|1802/45|cods|Missing cause, could not find disrepancy|totals discrepancy
988|1803/01|cods|3 missing causes, left hand side of bill cropped so several causes in A-C and one casualty missing|totals discrepancy; part missing: damaged
989|1803/06|cods|4 missing causes, could not find discrepancy|totals discrepancy
990|1803/17|cods|7 additional causes, could not find discrepancy|totals discrepancy
991|1803/20|cods|6 additional causes, could not find discrepancy. Page fairly faded|totals discrepancy
992|1803/37|cods|Week 37 very faded, difficult to make out, 5 causes missing, could not find discrepancy|part missing: illegible; totals discrepancy
993|1804/02|cods|Week 2 missing, original bill could not be found|no Bill
994|1804/03|cods|Additional cause, could not find discrepancy|totals discrepancy
995|1804/11|cods|Missing cause, right hand side of bill torn and hard to make out, could not find discrepancy|totals discrepancy
996|1804/21|cods|3 missing causes, could not find discrepancy|totals discrepancy
997|1804/22|cods|9 missing causes, right hand side of bill torn and missing some counts includig Smallpox|totals discrepancy; part missing: damaged
998|1804/26|cods|6 missing causes, could not find discrepancy|totals discrepancy
999|1804/34|cods|19 missing causes, right hand side of bill torn and some counts missing.|totals discrepancy; part missing: damaged
1000|1804/37|cods|2 additional causes, could not find discrepancy|totals discrepancy
1001|1804/45|cods|Right hand side of bill appears to be folded, obscuring counts from Scarlet Fever down.|part missing: illegible
1002|1805/03|cods|Additional cause, could not find discrepancy|totals discrepancy
1003|1805/16|cods|Right hand side of bill ripped, Smallpox to Thrush counts missing|part missing: damaged
1004|1805/35|cods|Missing cause, could not find discrepancy|totals discrepancy
1005|1805/40|cods|Missing cause, could not find discrepancy|totals discrepancy
1006|1805/42|cods|10 additional causes, several scratches across bill, could not find discrepancy|totals discrepancy
1007|1805/45|cods|20 missing causes, could not find discrepancy|totals discrepancy
1008|1805/51|cods|Missing cause, could not find discrepancy|totals discrepancy
